Name,Number,Inning,Bowler,Unable to finish,Notes,Match
Match_3_Innings_1_Over_10,10,Match_3_Innings_1,Alyssa Marks,No,3/0 score this over,Match_3
Match_3_Innings_1_Over_11,11,Match_3_Innings_1,Christopher Lee,No,13/0 score this over,Match_3
Match_3_Innings_1_Over_12,12,Match_3_Innings_1,Bianca Gibbs,No,16/0 score this over,Match_3
Match_3_Innings_1_Over_13,13,Match_3_Innings_1,Samuel Flynn,No,17/0 score this over,Match_3
Match_3_Innings_1_Over_14,14,Match_3_Innings_1,Roger Fitzgerald,No,1/0 score this over,Match_3
Match_3_Innings_1_Over_15,15,Match_3_Innings_1,Bianca Gibbs,No,10/0 score this over,Match_3
Match_3_Innings_1_Over_16,16,Match_3_Innings_1,Christopher Lee,No,15/0 score this over,Match_3
Match_3_Innings_1_Over_17,17,Match_3_Innings_1,Roger Fitzgerald,No,17/0 score this over,Match_3
Match_3_Innings_1_Over_18,18,Match_3_Innings_1,Roger Fitzgerald,No,7/0 score this over,Match_3
Match_3_Innings_1_Over_19,19,Match_3_Innings_1,Alyssa Marks,No,12/0 score this over,Match_3
Match_3_Innings_1_Over_20,20,Match_3_Innings_1,Bianca Gibbs,No,16/0 score this over,Match_3
Match_3_Innings_2_Over_1,1,Match_3_Innings_2,Edwin Lynch,No,13/2 score this over,Match_3
Match_3_Innings_2_Over_2,2,Match_3_Innings_2,Sherri Salazar,No,13/1 score this over,Match_3
Match_3_Innings_2_Over_3,3,Match_3_Innings_2,Joanne Espinoza,No,18/0 score this over,Match_3
Match_3_Innings_2_Over_4,4,Match_3_Innings_2,Edwin Lynch,No,6/0 score this over,Match_3
Match_3_Innings_2_Over_5,5,Match_3_Innings_2,Charles Gregory,No,14/0 score this over,Match_3
Match_3_Innings_2_Over_6,6,Match_3_Innings_2,Sherri Salazar,No,10/2 score this over,Match_3
Match_3_Innings_2_Over_7,7,Match_3_Innings_2,Joanne Espinoza,No,6/0 score this over,Match_3
Match_3_Innings_2_Over_8,8,Match_3_Innings_2,Sherri Salazar,No,1/0 score this over,Match_3
Match_3_Innings_2_Over_9,9,Match_3_Innings_2,Raymond Moore,No,6/0 score this over,Match_3
Match_3_Innings_2_Over_10,10,Match_3_Innings_2,Sherri Salazar,No,6/2 score this over,Match_3
Match_3_Innings_2_Over_11,11,Match_3_Innings_2,Joanne Espinoza,No,5/0 score this over,Match_3
Match_3_Innings_2_Over_12,12,Match_3_Innings_2,Joanne Espinoza,No,2/0 score this over,Match_3
Match_3_Innings_2_Over_13,13,Match_3_Innings_2,Joanne Espinoza,No,49/0 score this over,Match_3
Match_3_Innings_2_Over_14,14,Match_3_Innings_2,Raymond Moore,No,8/1 score this over,Match_3
Match_3_Innings_2_Over_15,15,Match_3_Innings_2,Joanne Espinoza,No,6/0 score this over,Match_3
Match_3_Innings_2_Over_16,16,Match_3_Innings_2,Joanne Espinoza,No,1/1 score this over,Match_3
Match_3_Innings_2_Over_17_UTF,17,Match_3_Innings_2,Sherri Salazar,Yes,1/0 score this over,Match_3
Match_3_Innings_2_Over_17_Completed,17,Match_3_Innings_2,Raymond Moore,No,1/0 score this over,Match_3
Match_3_Innings_2_Over_18_UTF,18,Match_3_Innings_2,Sherri Salazar,Yes,2/0 score this over,Match_3
Match_3_Innings_2_Over_18_Completed,18,Match_3_Innings_2,Edwin Lynch,No,4/0 score this over,Match_3
Match_3_Innings_2_Over_19,19,Match_3_Innings_2,Edwin Lynch,No,17/0 score this over,Match_3
Match_3_Innings_2_Over_20,20,Match_3_Innings_2,Edwin Lynch,No,5/1 score this over,Match_3
Match_4_Innings_1_Over_1,1,Match_4_Innings_1,Charles Gregory,No,7/5 score this over,Match_4
Match_4_Innings_1_Over_2,2,Match_4_Innings_1,Edwin Lynch,No,4/0 score this over,Match_4
Match_4_Innings_1_Over_3,3,Match_4_Innings_1,Joanne Espinoza,No,3/0 score this over,Match_4
Match_4_Innings_1_Over_4,4,Match_4_Innings_1,Raymond Moore,No,4/0 score this over,Match_4
Match_4_Innings_1_Over_5,5,Match_4_Innings_1,Charles Gregory,No,42/0 score this over,Match_4
Match_4_Innings_1_Over_6,6,Match_4_Innings_1,Raymond Moore,No,2/0 score this over,Match_4
Match_4_Innings_1_Over_7,7,Match_4_Innings_1,Raymond Moore,No,22/0 score this over,Match_4
Match_4_Innings_1_Over_8,8,Match_4_Innings_1,Sherri Salazar,No,4/0 score this over,Match_4
Match_4_Innings_1_Over_9_UTF,9,Match_4_Innings_1,Sherri Salazar,Yes,5/0 score this over,Match_4
Match_4_Innings_1_Over_9_Completed,9,Match_4_Innings_1,Charles Gregory,No,9/0 score this over,Match_4
Match_4_Innings_1_Over_10_UTF,10,Match_4_Innings_1,Sherri Salazar,Yes,3/0 score this over,Match_4
Match_4_Innings_1_Over_10_Completed,10,Match_4_Innings_1,Joanne Espinoza,No,5/0 score this over,Match_4
Match_4_Innings_1_Over_11,11,Match_4_Innings_1,Edwin Lynch,No,4/0 score this over,Match_4
Match_4_Innings_1_Over_12,12,Match_4_Innings_1,Charles Gregory,No,9/0 score this over,Match_4
Match_4_Innings_1_Over_13,13,Match_4_Innings_1,Charles Gregory,No,5/0 score this over,Match_4
Match_4_Innings_1_Over_14,14,Match_4_Innings_1,Edwin Lynch,No,9/0 score this over,Match_4
Match_4_Innings_1_Over_15,15,Match_4_Innings_1,Raymond Moore,No,6/0 score this over,Match_4
Match_4_Innings_1_Over_16,16,Match_4_Innings_1,Edwin Lynch,No,6/0 score this over,Match_4
Match_4_Innings_1_Over_17,17,Match_4_Innings_1,Raymond Moore,No,5/0 score this over,Match_4
Match_4_Innings_1_Over_18_UTF,18,Match_4_Innings_1,Raymond Moore,Yes,1/0 score this over,Match_4
Match_4_Innings_1_Over_18_Completed,18,Match_4_Innings_1,Joanne Espinoza,No,3/0 score this over,Match_4
Match_4_Innings_1_Over_19,19,Match_4_Innings_1,Charles Gregory,No,3/0 score this over,Match_4
Match_4_Innings_1_Over_20,20,Match_4_Innings_1,Edwin Lynch,No,1/0 score this over,Match_4
Match_4_Innings_2_Over_1,1,Match_4_Innings_2,Brandon Estrada,No,4/1 score this over,Match_4
Match_4_Innings_2_Over_2,2,Match_4_Innings_2,Grant Shaw,No,2/2 score this over,Match_4
Match_4_Innings_2_Over_3,3,Match_4_Innings_2,Edward Phillips,No,11/0 score this over,Match_4
Match_4_Innings_2_Over_4,4,Match_4_Innings_2,Edward Phillips,No,3/0 score this over,Match_4
Match_4_Innings_2_Over_5,5,Match_4_Innings_2,Edward Phillips,No,6/0 score this over,Match_4
Match_4_Innings_2_Over_6,6,Match_4_Innings_2,Amanda Norman,No,13/0 score this over,Match_4
Match_4_Innings_2_Over_7,7,Match_4_Innings_2,Margaret Sullivan,No,1/0 score this over,Match_4
Match_4_Innings_2_Over_8,8,Match_4_Innings_2,Brandon Estrada,No,9/0 score this over,Match_4
Match_4_Innings_2_Over_9,9,Match_4_Innings_2,Margaret Sullivan,No,2/0 score this over,Match_4
Match_4_Innings_2_Over_10,10,Match_4_Innings_2,Brandon Estrada,No,3/0 score this over,Match_4
Match_4_Innings_2_Over_11,11,Match_4_Innings_2,Edward Phillips,No,28/0 score this over,Match_4
Match_4_Innings_2_Over_12,12,Match_4_Innings_2,Margaret Sullivan,No,1/0 score this over,Match_4
Match_4_Innings_2_Over_13,13,Match_4_Innings_2,Edward Phillips,No,5/0 score this over,Match_4
Match_4_Innings_2_Over_14,14,Match_4_Innings_2,Margaret Sullivan,No,1/0 score this over,Match_4
Match_4_Innings_2_Over_15,15,Match_4_Innings_2,Brandon Estrada,No,15/0 score this over,Match_4
Match_4_Innings_2_Over_16,16,Match_4_Innings_2,Edward Phillips,No,13/0 score this over,Match_4
Match_4_Innings_2_Over_17,17,Match_4_Innings_2,Amanda Norman,No,2/0 score this over,Match_4
Match_4_Innings_2_Over_18,18,Match_4_Innings_2,Amanda Norman,No,17/0 score this over,Match_4
Match_4_Innings_2_Over_19,19,Match_4_Innings_2,Edward Phillips,No,10/0 score this over,Match_4
Match_4_Innings_2_Over_20,20,Match_4_Innings_2,Brandon Estrada,No,18/0 score this over,Match_4
Match_5_Innings_1_Over_1,1,Match_5_Innings_1,Jeanette Hampton,No,2/1 score this over,Match_5
Match_5_Innings_1_Over_2,2,Match_5_Innings_1,Johnny Moore,No,17/2 score this over,Match_5
Match_5_Innings_1_Over_3,3,Match_5_Innings_1,Johnny Moore,No,3/4 score this over,Match_5
Match_5_Innings_1_Over_4,4,Match_5_Innings_1,Rhonda Johnson,No,3/1 score this over,Match_5
Match_5_Innings_1_Over_5,5,Match_5_Innings_1,David Fletcher,No,16/0 score this over,Match_5
Match_5_Innings_1_Over_6_UTF,6,Match_5_Innings_1,Rhonda Johnson,Yes,17/0 score this over,Match_5
Match_5_Innings_1_Over_6_Completed,6,Match_5_Innings_1,Johnny Moore,No,33/0 score this over,Match_5
Match_5_Innings_1_Over_7,7,Match_5_Innings_1,Johnny Moore,No,2/0 score this over,Match_5
Match_5_Innings_1_Over_8,8,Match_5_Innings_1,David Fletcher,No,10/0 score this over,Match_5
Match_5_Innings_1_Over_9,9,Match_5_Innings_1,Johnny Moore,No,10/0 score this over,Match_5
Match_5_Innings_1_Over_10,10,Match_5_Innings_1,Johnny Moore,No,9/0 score this over,Match_5
Match_5_Innings_1_Over_11,11,Match_5_Innings_1,David Fletcher,No,5/0 score this over,Match_5
Match_5_Innings_1_Over_12,12,Match_5_Innings_1,Jeanette Hampton,No,18/0 score this over,Match_5
Match_5_Innings_1_Over_13,13,Match_5_Innings_1,Connie Hernandez,No,11/0 score this over,Match_5
Match_5_Innings_1_Over_14,14,Match_5_Innings_1,Johnny Moore,No,3/0 score this over,Match_5
Match_5_Innings_1_Over_15,15,Match_5_Innings_1,Rhonda Johnson,No,3/0 score this over,Match_5
Match_5_Innings_1_Over_16_UTF,16,Match_5_Innings_1,Rhonda Johnson,Yes,4/0 score this over,Match_5
Match_5_Innings_1_Over_16_Completed,16,Match_5_Innings_1,Connie Hernandez,No,7/0 score this over,Match_5
Match_5_Innings_1_Over_17,17,Match_5_Innings_1,David Fletcher,No,2/0 score this over,Match_5
Match_5_Innings_1_Over_18,18,Match_5_Innings_1,David Fletcher,No,2/0 score this over,Match_5
Match_5_Innings_1_Over_19,19,Match_5_Innings_1,Johnny Moore,No,6/0 score this over,Match_5
Match_5_Innings_1_Over_20,20,Match_5_Innings_1,Jeanette Hampton,No,9/0 score this over,Match_5
Match_5_Innings_2_Over_1,1,Match_5_Innings_2,Sandra Salazar,No,10/1 score this over,Match_5
Match_5_Innings_2_Over_2,2,Match_5_Innings_2,Sandra Salazar,No,9/1 score this over,Match_5
Match_5_Innings_2_Over_3,3,Match_5_Innings_2,Dana Spencer,No,7/0 score this over,Match_5
Match_5_Innings_2_Over_4,4,Match_5_Innings_2,Nicole Church,No,26/0 score this over,Match_5
Match_5_Innings_2_Over_5,5,Match_5_Innings_2,Sandra Salazar,No,44/0 score this over,Match_5
Match_5_Innings_2_Over_6,6,Match_5_Innings_2,Nicole Salas,No,22/1 score this over,Match_5
Match_5_Innings_2_Over_7,7,Match_5_Innings_2,Stephen Gonzalez,No,2/0 score this over,Match_5
Match_5_Innings_2_Over_8,8,Match_5_Innings_2,Dana Spencer,No,3/0 score this over,Match_5
Match_5_Innings_2_Over_9,9,Match_5_Innings_2,Sandra Salazar,No,2/0 score this over,Match_5
Match_5_Innings_2_Over_10,10,Match_5_Innings_2,Nicole Salas,No,5/0 score this over,Match_5
Match_5_Innings_2_Over_11,11,Match_5_Innings_2,Sandra Salazar,No,2/0 score this over,Match_5
Match_5_Innings_2_Over_12,12,Match_5_Innings_2,Nicole Church,No,2/0 score this over,Match_5
Match_5_Innings_2_Over_13,13,Match_5_Innings_2,Sandra Salazar,No,3/0 score this over,Match_5
Match_5_Innings_2_Over_14,14,Match_5_Innings_2,Dana Spencer,No,21/0 score this over,Match_5
Match_5_Innings_2_Over_15,15,Match_5_Innings_2,Sandra Salazar,No,8/0 score this over,Match_5
Match_5_Innings_2_Over_16,16,Match_5_Innings_2,Sandra Salazar,No,5/0 score this over,Match_5
Match_5_Innings_2_Over_17,17,Match_5_Innings_2,Sandra Salazar,No,5/0 score this over,Match_5
Match_5_Innings_2_Over_18,18,Match_5_Innings_2,Sandra Salazar,No,4/0 score this over,Match_5
Match_5_Innings_2_Over_19_UTF,19,Match_5_Innings_2,Stephen Gonzalez,Yes,1/0 score this over,Match_5
Match_5_Innings_2_Over_19_Completed,19,Match_5_Innings_2,Dana Spencer,No,3/0 score this over,Match_5
Match_5_Innings_2_Over_20,20,Match_5_Innings_2,Dana Spencer,No,14/0 score this over,Match_5
Match_6_Innings_1_Over_1,1,Match_6_Innings_1,Sandra Salazar,No,9/2 score this over,Match_6
Match_6_Innings_1_Over_2,2,Match_6_Innings_1,Sandra Salazar,No,5/0 score this over,Match_6
Match_6_Innings_1_Over_3,3,Match_6_Innings_1,Sandra Salazar,No,2/0 score this over,Match_6
Match_6_Innings_1_Over_4,4,Match_6_Innings_1,Stephen Gonzalez,No,1/0 score this over,Match_6
Match_6_Innings_1_Over_5,5,Match_6_Innings_1,Stephen Gonzalez,No,4/0 score this over,Match_6
Match_6_Innings_1_Over_6,6,Match_6_Innings_1,Dana Spencer,No,15/0 score this over,Match_6
Match_6_Innings_1_Over_7,7,Match_6_Innings_1,Nicole Church,No,1/0 score this over,Match_6
Match_6_Innings_1_Over_8,8,Match_6_Innings_1,Stephen Gonzalez,No,4/0 score this over,Match_6
Match_6_Innings_1_Over_9,9,Match_6_Innings_1,Nicole Salas,No,3/0 score this over,Match_6
Match_6_Innings_1_Over_10,10,Match_6_Innings_1,Sandra Salazar,No,5/0 score this over,Match_6
Match_6_Innings_1_Over_11_UTF,11,Match_6_Innings_1,Dana Spencer,Yes,1/0 score this over,Match_6
Match_6_Innings_1_Over_11_Completed,11,Match_6_Innings_1,Nicole Salas,No,3/0 score this over,Match_6
Match_6_Innings_1_Over_12,12,Match_6_Innings_1,Dana Spencer,No,17/0 score this over,Match_6
Match_6_Innings_1_Over_13,13,Match_6_Innings_1,Nicole Church,No,4/0 score this over,Match_6
Match_6_Innings_1_Over_14,14,Match_6_Innings_1,Dana Spencer,No,8/0 score this over,Match_6
Match_6_Innings_1_Over_15,15,Match_6_Innings_1,Stephen Gonzalez,No,3/0 score this over,Match_6
Match_6_Innings_1_Over_16_UTF,16,Match_6_Innings_1,Stephen Gonzalez,Yes,4/0 score this over,Match_6
Match_6_Innings_1_Over_16_Completed,16,Match_6_Innings_1,Nicole Church,No,9/0 score this over,Match_6
Match_6_Innings_1_Over_17,17,Match_6_Innings_1,Sandra Salazar,No,1/0 score this over,Match_6
Match_6_Innings_1_Over_18,18,Match_6_Innings_1,Nicole Salas,No,24/0 score this over,Match_6
Match_6_Innings_1_Over_19,19,Match_6_Innings_1,Nicole Church,No,1/0 score this over,Match_6
Match_6_Innings_1_Over_20,20,Match_6_Innings_1,Dana Spencer,No,7/0 score this over,Match_6
Match_6_Innings_2_Over_1,1,Match_6_Innings_2,Bianca Gibbs,No,6/4 score this over,Match_6
Match_6_Innings_2_Over_2,2,Match_6_Innings_2,Bianca Gibbs,No,1/1 score this over,Match_6
Match_6_Innings_2_Over_3,3,Match_6_Innings_2,Samuel Flynn,No,1/0 score this over,Match_6
Match_6_Innings_2_Over_4,4,Match_6_Innings_2,Samuel Flynn,No,1/0 score this over,Match_6
Match_6_Innings_2_Over_5,5,Match_6_Innings_2,Christopher Lee,No,6/0 score this over,Match_6
Match_6_Innings_2_Over_6,6,Match_6_Innings_2,Roger Fitzgerald,No,2/0 score this over,Match_6
Match_6_Innings_2_Over_7,7,Match_6_Innings_2,Christopher Lee,No,11/0 score this over,Match_6
Match_6_Innings_2_Over_8,8,Match_6_Innings_2,Roger Fitzgerald,No,2/0 score this over,Match_6
Match_6_Innings_2_Over_9,9,Match_6_Innings_2,Christopher Lee,No,2/0 score this over,Match_6
Match_6_Innings_2_Over_10_UTF,10,Match_6_Innings_2,Samuel Flynn,Yes,1/0 score this over,Match_6
Match_6_Innings_2_Over_10_Completed,10,Match_6_Innings_2,Christopher Lee,No,2/0 score this over,Match_6
Match_6_Innings_2_Over_11,11,Match_6_Innings_2,Samuel Flynn,No,1/0 score this over,Match_6
Match_6_Innings_2_Over_12,12,Match_6_Innings_2,Alyssa Marks,No,2/0 score this over,Match_6
Match_6_Innings_2_Over_13,13,Match_6_Innings_2,Samuel Flynn,No,2/0 score this over,Match_6
Match_6_Innings_2_Over_14,14,Match_6_Innings_2,Roger Fitzgerald,No,6/0 score this over,Match_6
Match_6_Innings_2_Over_15_UTF,15,Match_6_Innings_2,Bianca Gibbs,Yes,1/0 score this over,Match_6
Match_6_Innings_2_Over_15_Completed,15,Match_6_Innings_2,Alyssa Marks,No,3/0 score this over,Match_6
Match_6_Innings_2_Over_16,16,Match_6_Innings_2,Bianca Gibbs,No,10/0 score this over,Match_6
Match_6_Innings_2_Over_17_UTF,17,Match_6_Innings_2,Bianca Gibbs,Yes,4/0 score this over,Match_6
Match_6_Innings_2_Over_17_Completed,17,Match_6_Innings_2,Roger Fitzgerald,No,8/0 score this over,Match_6
Match_6_Innings_2_Over_18,18,Match_6_Innings_2,Alyssa Marks,No,9/0 score this over,Match_6
Match_6_Innings_2_Over_19,19,Match_6_Innings_2,Samuel Flynn,No,18/0 score this over,Match_6
Match_6_Innings_2_Over_20_UTF,20,Match_6_Innings_2,Samuel Flynn,Yes,1/0 score this over,Match_6
Match_6_Innings_2_Over_20_Completed,20,Match_6_Innings_2,Christopher Lee,No,3/0 score this over,Match_6
Match_7_Innings_1_Over_1,1,Match_7_Innings_1,Amanda Norman,No,5/2 score this over,Match_7
