Name,Number,Over,Batsman,Result,Runs,Dismissal Type,Dismissal Fielder,Notes,Innings,Match,Bowler
Match_1_Innings_1_Over_5_Delivery_4,4,Match_1_Innings_1_Over_5,Cristina Richmond,Runs,6,,,6 runs this delivery,Match_1_Innings_1,Match_1,Dana Spencer
Match_1_Innings_1_Over_5_Delivery_5,5,Match_1_Innings_1_Over_5,Cristina Richmond,Runs,2,,,2 runs this delivery,Match_1_Innings_1,Match_1,Dana Spencer
Match_1_Innings_1_Over_5_Delivery_6,6,Match_1_Innings_1_Over_5,Cristina Richmond,Runs,1,,,1 runs this delivery,Match_1_Innings_1,Match_1,Dana Spencer
Match_1_Innings_1_Over_6_Delivery_1,1,Match_1_Innings_1_Over_6,Cristina Richmond,Runs,1,,,1 runs this delivery,Match_1_Innings_1,Match_1,Nicole Salas
Match_1_Innings_1_Over_6_Delivery_2,2,Match_1_Innings_1_Over_6,Cristina Richmond,Runs,1,,,1 runs this delivery,Match_1_Innings_1,Match_1,Nicole Salas
Match_1_Innings_1_Over_6_Delivery_3,3,Match_1_Innings_1_Over_6,Cristina Richmond,Runs,2,,,2 runs this delivery,Match_1_Innings_1,Match_1,Nicole Salas
Match_1_Innings_1_Over_6_Delivery_4,4,Match_1_Innings_1_Over_6,Cristina Richmond,Runs,1,,,1 runs this delivery,Match_1_Innings_1,Match_1,Nicole Salas
Match_1_Innings_1_Over_6_Delivery_5,5,Match_1_Innings_1_Over_6,Cristina Richmond,Runs,1,,,1 runs this delivery,Match_1_Innings_1,Match_1,Nicole Salas
Match_1_Innings_1_Over_6_Delivery_6,6,Match_1_Innings_1_Over_6,Cristina Richmond,Runs,2,,,2 runs this delivery,Match_1_Innings_1,Match_1,Nicole Salas
Match_1_Innings_1_Over_7_Delivery_1,1,Match_1_Innings_1_Over_7,Cristina Richmond,Runs,4,,,4 runs this delivery,Match_1_Innings_1,Match_1,Sandra Salazar
Match_1_Innings_1_Over_7_Delivery_2,2,Match_1_Innings_1_Over_7,Cristina Richmond,Runs,4,,,4 runs this delivery,Match_1_Innings_1,Match_1,Sandra Salazar
Match_1_Innings_1_Over_7_Delivery_3,3,Match_1_Innings_1_Over_7,Cristina Richmond,Runs,3,,,3 runs this delivery,Match_1_Innings_1,Match_1,Sandra Salazar
Match_1_Innings_1_Over_7_Delivery_4,4,Match_1_Innings_1_Over_7,Cristina Richmond,Runs,2,,,2 runs this delivery,Match_1_Innings_1,Match_1,Sandra Salazar
Match_1_Innings_1_Over_7_Delivery_5,5,Match_1_Innings_1_Over_7,Cristina Richmond,Runs,4,,,4 runs this delivery,Match_1_Innings_1,Match_1,Sandra Salazar
Match_1_Innings_1_Over_7_Delivery_6,6,Match_1_Innings_1_Over_7,Cristina Richmond,Runs,4,,,4 runs this delivery,Match_1_Innings_1,Match_1,Sandra Salazar
Match_1_Innings_1_Over_8_Delivery_1,1,Match_1_Innings_1_Over_8,Cristina Richmond,Runs,1,,,1 runs this delivery,Match_1_Innings_1,Match_1,Stephen Gonzalez
Match_1_Innings_1_Over_8_Delivery_2,2,Match_1_Innings_1_Over_8,Cristina Richmond,Runs,1,,,1 runs this delivery,Match_1_Innings_1,Match_1,Stephen Gonzalez
Match_1_Innings_1_Over_8_Delivery_3,3,Match_1_Innings_1_Over_8,Cristina Richmond,Runs,1,,,1 runs this delivery,Match_1_Innings_1,Match_1,Stephen Gonzalez
Match_1_Innings_1_Over_8_Delivery_4,4,Match_1_Innings_1_Over_8,Cristina Richmond,Runs,1,,,1 runs this delivery,Match_1_Innings_1,Match_1,Stephen Gonzalez
Match_1_Innings_1_Over_8_Delivery_5,5,Match_1_Innings_1_Over_8,Cristina Richmond,Runs,1,,,1 runs this delivery,Match_1_Innings_1,Match_1,Stephen Gonzalez
Match_1_Innings_1_Over_8_Delivery_6,6,Match_1_Innings_1_Over_8,Cristina Richmond,Runs,1,,,1 runs this delivery,Match_1_Innings_1,Match_1,Stephen Gonzalez
Match_1_Innings_1_Over_9_Delivery_1,1,Match_1_Innings_1_Over_9,Cristina Richmond,Runs,1,,,1 runs this delivery,Match_1_Innings_1,Match_1,Stephen Gonzalez
Match_1_Innings_1_Over_9_Delivery_2,2,Match_1_Innings_1_Over_9,Cristina Richmond,Dot Ball,0,,,0 runs this delivery,Match_1_Innings_1,Match_1,Stephen Gonzalez
Match_1_Innings_1_Over_9_Delivery_3,3,Match_1_Innings_1_Over_9,Cristina Richmond,Dot Ball,0,,,0 runs this delivery,Match_1_Innings_1,Match_1,Stephen Gonzalez
Match_1_Innings_1_Over_9_Delivery_4,4,Match_1_Innings_1_Over_9,Cristina Richmond,Dot Ball,0,,,0 runs this delivery,Match_1_Innings_1,Match_1,Stephen Gonzalez
Match_1_Innings_1_Over_9_Delivery_5,5,Match_1_Innings_1_Over_9,Cristina Richmond,Dot Ball,0,,,0 runs this delivery,Match_1_Innings_1,Match_1,Stephen Gonzalez
Match_1_Innings_1_Over_9_Delivery_6,6,Match_1_Innings_1_Over_9,Cristina Richmond,Dot Ball,0,,,0 runs this delivery,Match_1_Innings_1,Match_1,Stephen Gonzalez
Match_1_Innings_1_Over_10_Delivery_1,1,Match_1_Innings_1_Over_10,Cristina Richmond,Runs,1,,,1 runs this delivery,Match_1_Innings_1,Match_1,Stephen Gonzalez
Match_1_Innings_1_Over_10_Delivery_2,2,Match_1_Innings_1_Over_10,Cristina Richmond,Runs,1,,,1 runs this delivery,Match_1_Innings_1,Match_1,Stephen Gonzalez
Match_1_Innings_1_Over_10_Delivery_3,3,Match_1_Innings_1_Over_10,Cristina Richmond,Runs,1,,,1 runs this delivery,Match_1_Innings_1,Match_1,Stephen Gonzalez
Match_1_Innings_1_Over_10_Delivery_4,4,Match_1_Innings_1_Over_10,Cristina Richmond,Runs,1,,,1 runs this delivery,Match_1_Innings_1,Match_1,Stephen Gonzalez
Match_1_Innings_1_Over_10_Delivery_5,5,Match_1_Innings_1_Over_10,Cristina Richmond,Runs,2,,,2 runs this delivery,Match_1_Innings_1,Match_1,Stephen Gonzalez
Match_1_Innings_1_Over_10_Delivery_6,6,Match_1_Innings_1_Over_10,Cristina Richmond,Runs,1,,,1 runs this delivery,Match_1_Innings_1,Match_1,Stephen Gonzalez
Match_1_Innings_1_Over_11_Delivery_1,1,Match_1_Innings_1_Over_11,Cristina Richmond,Dot Ball,0,,,0 runs this delivery,Match_1_Innings_1,Match_1,Sandra Salazar
Match_1_Innings_1_Over_11_Delivery_2,2,Match_1_Innings_1_Over_11,Cristina Richmond,Runs,1,,,1 runs this delivery,Match_1_Innings_1,Match_1,Sandra Salazar
Match_1_Innings_1_Over_11_Delivery_3,3,Match_1_Innings_1_Over_11,Cristina Richmond,Dot Ball,0,,,0 runs this delivery,Match_1_Innings_1,Match_1,Sandra Salazar
Match_1_Innings_1_Over_11_Delivery_4,4,Match_1_Innings_1_Over_11,Cristina Richmond,Runs,1,,,1 runs this delivery,Match_1_Innings_1,Match_1,Sandra Salazar
Match_1_Innings_1_Over_11_Delivery_5,5,Match_1_Innings_1_Over_11,Cristina Richmond,Dot Ball,0,,,0 runs this delivery,Match_1_Innings_1,Match_1,Sandra Salazar
Match_1_Innings_1_Over_11_Delivery_6,6,Match_1_Innings_1_Over_11,Cristina Richmond,Dot Ball,0,,,0 runs this delivery,Match_1_Innings_1,Match_1,Sandra Salazar
Match_1_Innings_1_Over_12_Delivery_1,1,Match_1_Innings_1_Over_12,Cristina Richmond,Runs,4,,,4 runs this delivery,Match_1_Innings_1,Match_1,Stephen Gonzalez
Match_1_Innings_1_Over_12_Delivery_2,2,Match_1_Innings_1_Over_12,Cristina Richmond,Runs,3,,,3 runs this delivery,Match_1_Innings_1,Match_1,Stephen Gonzalez
Match_1_Innings_1_Over_12_Delivery_3,3,Match_1_Innings_1_Over_12,Cristina Richmond,Runs,2,,,2 runs this delivery,Match_1_Innings_1,Match_1,Stephen Gonzalez
Match_1_Innings_1_Over_12_Delivery_4,4,Match_1_Innings_1_Over_12,Cristina Richmond,Runs,1,,,1 runs this delivery,Match_1_Innings_1,Match_1,Stephen Gonzalez
Match_1_Innings_1_Over_12_Delivery_5,5,Match_1_Innings_1_Over_12,Cristina Richmond,Runs,1,,,1 runs this delivery,Match_1_Innings_1,Match_1,Stephen Gonzalez
Match_1_Innings_1_Over_12_Delivery_6,6,Match_1_Innings_1_Over_12,Cristina Richmond,Runs,1,,,1 runs this delivery,Match_1_Innings_1,Match_1,Stephen Gonzalez
Match_1_Innings_1_Over_13_Delivery_1,1,Match_1_Innings_1_Over_13,Cristina Richmond,Dot Ball,0,,,0 runs this delivery,Match_1_Innings_1,Match_1,Nicole Church
Match_1_Innings_1_Over_13_Delivery_2,2,Match_1_Innings_1_Over_13,Cristina Richmond,Dot Ball,0,,,0 runs this delivery,Match_1_Innings_1,Match_1,Nicole Church
Match_1_Innings_1_Over_13_Delivery_3,3,Match_1_Innings_1_Over_13,Cristina Richmond,Dot Ball,0,,,0 runs this delivery,Match_1_Innings_1,Match_1,Nicole Church
Match_1_Innings_1_Over_13_Delivery_4,4,Match_1_Innings_1_Over_13,Cristina Richmond,Dot Ball,0,,,0 runs this delivery,Match_1_Innings_1,Match_1,Nicole Church
Match_1_Innings_1_Over_13_Delivery_5,5,Match_1_Innings_1_Over_13,Cristina Richmond,Runs,1,,,1 runs this delivery,Match_1_Innings_1,Match_1,Nicole Church
Match_1_Innings_1_Over_13_Delivery_6,6,Match_1_Innings_1_Over_13,Cristina Richmond,Runs,1,,,1 runs this delivery,Match_1_Innings_1,Match_1,Nicole Church
Match_1_Innings_1_Over_14_Delivery_1,1,Match_1_Innings_1_Over_14,Cristina Richmond,Runs,1,,,1 runs this delivery,Match_1_Innings_1,Match_1,Sandra Salazar
Match_1_Innings_1_Over_14_Delivery_2,2,Match_1_Innings_1_Over_14,Cristina Richmond,Dot Ball,0,,,0 runs this delivery,Match_1_Innings_1,Match_1,Sandra Salazar
Match_1_Innings_1_Over_14_Delivery_3,3,Match_1_Innings_1_Over_14,Cristina Richmond,Runs,1,,,1 runs this delivery,Match_1_Innings_1,Match_1,Sandra Salazar
Match_1_Innings_1_Over_14_Delivery_4,4,Match_1_Innings_1_Over_14,Cristina Richmond,Dot Ball,0,,,0 runs this delivery,Match_1_Innings_1,Match_1,Sandra Salazar
Match_1_Innings_1_Over_14_Delivery_5,5,Match_1_Innings_1_Over_14,Cristina Richmond,Runs,1,,,1 runs this delivery,Match_1_Innings_1,Match_1,Sandra Salazar
Match_1_Innings_1_Over_14_Delivery_6,6,Match_1_Innings_1_Over_14,Cristina Richmond,Dot Ball,0,,,0 runs this delivery,Match_1_Innings_1,Match_1,Sandra Salazar
Match_1_Innings_1_Over_15_Delivery_1,1,Match_1_Innings_1_Over_15,Cristina Richmond,Runs,2,,,2 runs this delivery,Match_1_Innings_1,Match_1,Nicole Church
Match_1_Innings_1_Over_15_Delivery_2,2,Match_1_Innings_1_Over_15,Cristina Richmond,Runs,6,,,6 runs this delivery,Match_1_Innings_1,Match_1,Nicole Church
Match_1_Innings_1_Over_15_Delivery_3,3,Match_1_Innings_1_Over_15,Cristina Richmond,Runs,6,,,6 runs this delivery,Match_1_Innings_1,Match_1,Nicole Church
Match_1_Innings_1_Over_15_Delivery_4,4,Match_1_Innings_1_Over_15,Cristina Richmond,Runs,9,,,9 runs this delivery,Match_1_Innings_1,Match_1,Nicole Church
Match_1_Innings_1_Over_15_Delivery_5,5,Match_1_Innings_1_Over_15,Cristina Richmond,Runs,1,,,1 runs this delivery,Match_1_Innings_1,Match_1,Nicole Church
Match_1_Innings_1_Over_15_Delivery_6,6,Match_1_Innings_1_Over_15,Cristina Richmond,Runs,3,,,3 runs this delivery,Match_1_Innings_1,Match_1,Nicole Church
Match_1_Innings_1_Over_16_Delivery_1,1,Match_1_Innings_1_Over_16,Cristina Richmond,Runs,3,,,3 runs this delivery,Match_1_Innings_1,Match_1,Dana Spencer
Match_1_Innings_1_Over_16_Delivery_2,2,Match_1_Innings_1_Over_16,Cristina Richmond,Runs,8,,,8 runs this delivery,Match_1_Innings_1,Match_1,Dana Spencer
Match_1_Innings_1_Over_16_Delivery_3,3,Match_1_Innings_1_Over_16,Cristina Richmond,Runs,3,,,3 runs this delivery,Match_1_Innings_1,Match_1,Dana Spencer
Match_1_Innings_1_Over_16_Delivery_4,4,Match_1_Innings_1_Over_16,Cristina Richmond,Runs,2,,,2 runs this delivery,Match_1_Innings_1,Match_1,Dana Spencer
Match_1_Innings_1_Over_16_Delivery_5,5,Match_1_Innings_1_Over_16,Cristina Richmond,Runs,6,,,6 runs this delivery,Match_1_Innings_1,Match_1,Dana Spencer
Match_1_Innings_1_Over_16_Delivery_6,6,Match_1_Innings_1_Over_16,Cristina Richmond,Runs,1,,,1 runs this delivery,Match_1_Innings_1,Match_1,Dana Spencer
Match_1_Innings_1_Over_17_Delivery_1,1,Match_1_Innings_1_Over_17,Cristina Richmond,Runs,1,,,1 runs this delivery,Match_1_Innings_1,Match_1,Sandra Salazar
Match_1_Innings_1_Over_17_Delivery_2,2,Match_1_Innings_1_Over_17,Cristina Richmond,Runs,3,,,3 runs this delivery,Match_1_Innings_1,Match_1,Sandra Salazar
Match_1_Innings_1_Over_17_Delivery_3,3,Match_1_Innings_1_Over_17,Cristina Richmond,Runs,1,,,1 runs this delivery,Match_1_Innings_1,Match_1,Sandra Salazar
Match_1_Innings_1_Over_17_Delivery_4,4,Match_1_Innings_1_Over_17,Cristina Richmond,Runs,1,,,1 runs this delivery,Match_1_Innings_1,Match_1,Sandra Salazar
Match_1_Innings_1_Over_17_Delivery_5,5,Match_1_Innings_1_Over_17,Cristina Richmond,Runs,1,,,1 runs this delivery,Match_1_Innings_1,Match_1,Sandra Salazar
Match_1_Innings_1_Over_17_Delivery_6,6,Match_1_Innings_1_Over_17,Cristina Richmond,Runs,1,,,1 runs this delivery,Match_1_Innings_1,Match_1,Sandra Salazar
Match_1_Innings_1_Over_18_Delivery_1,1,Match_1_Innings_1_Over_18,Cristina Richmond,Dot Ball,0,,,0 runs this delivery,Match_1_Innings_1,Match_1,Nicole Church
Match_1_Innings_1_Over_18_Delivery_2,2,Match_1_Innings_1_Over_18,Cristina Richmond,Dot Ball,0,,,0 runs this delivery,Match_1_Innings_1,Match_1,Nicole Church
Match_1_Innings_1_Over_18_Delivery_3,3,Match_1_Innings_1_Over_18,Cristina Richmond,Dot Ball,0,,,0 runs this delivery,Match_1_Innings_1,Match_1,Nicole Church
Match_1_Innings_1_Over_18_Delivery_4,4,Match_1_Innings_1_Over_18,Cristina Richmond,Runs,1,,,1 runs this delivery,Match_1_Innings_1,Match_1,Nicole Church
Match_1_Innings_1_Over_18_Delivery_5,5,Match_1_Innings_1_Over_18,Cristina Richmond,Dot Ball,0,,,0 runs this delivery,Match_1_Innings_1,Match_1,Nicole Church
Match_1_Innings_1_Over_18_Delivery_6,6,Match_1_Innings_1_Over_18,Cristina Richmond,Dot Ball,0,,,0 runs this delivery,Match_1_Innings_1,Match_1,Nicole Church
Match_1_Innings_1_Over_19_Delivery_1,1,Match_1_Innings_1_Over_19,Cristina Richmond,Runs,1,,,1 runs this delivery,Match_1_Innings_1,Match_1,Sandra Salazar
Match_1_Innings_1_Over_19_Delivery_2,2,Match_1_Innings_1_Over_19,Cristina Richmond,Dot Ball,0,,,0 runs this delivery,Match_1_Innings_1,Match_1,Sandra Salazar
Match_1_Innings_1_Over_19_Delivery_3,3,Match_1_Innings_1_Over_19,Cristina Richmond,Runs,1,,,1 runs this delivery,Match_1_Innings_1,Match_1,Sandra Salazar
Match_1_Innings_1_Over_19_Delivery_4,4,Match_1_Innings_1_Over_19,Cristina Richmond,Runs,1,,,1 runs this delivery,Match_1_Innings_1,Match_1,Sandra Salazar
Match_1_Innings_1_Over_19_Delivery_5,5,Match_1_Innings_1_Over_19,Cristina Richmond,Runs,1,,,1 runs this delivery,Match_1_Innings_1,Match_1,Sandra Salazar
Match_1_Innings_1_Over_19_Delivery_6,6,Match_1_Innings_1_Over_19,Cristina Richmond,Dot Ball,0,,,0 runs this delivery,Match_1_Innings_1,Match_1,Sandra Salazar
Match_1_Innings_1_Over_20_Delivery_1,1,Match_1_Innings_1_Over_20,Cristina Richmond,Dot Ball,0,,,0 runs this delivery,Match_1_Innings_1,Match_1,Dana Spencer
Match_1_Innings_1_Over_20_Delivery_2,2,Match_1_Innings_1_Over_20,Cristina Richmond,Runs,1,,,1 runs this delivery,Match_1_Innings_1,Match_1,Dana Spencer
Match_1_Innings_1_Over_20_Delivery_3,3,Match_1_Innings_1_Over_20,Cristina Richmond,Dot Ball,0,,,0 runs this delivery,Match_1_Innings_1,Match_1,Dana Spencer
Match_1_Innings_1_Over_20_Delivery_4,4,Match_1_Innings_1_Over_20,Cristina Richmond,Runs,1,,,1 runs this delivery,Match_1_Innings_1,Match_1,Dana Spencer
Match_1_Innings_1_Over_20_Delivery_5,5,Match_1_Innings_1_Over_20,Cristina Richmond,Dot Ball,0,,,0 runs this delivery,Match_1_Innings_1,Match_1,Dana Spencer
Match_1_Innings_1_Over_20_Delivery_6,6,Match_1_Innings_1_Over_20,Cristina Richmond,Dot Ball,0,,,0 runs this delivery,Match_1_Innings_1,Match_1,Dana Spencer
Match_1_Innings_2_Over_1_Delivery_1,1,Match_1_Innings_2_Over_1,Tiffany Lewis,Dismissal,,Caught,Charles Gregory,Tiffany Lewis wicket taken,Match_1_Innings_2,Match_1,Sherri Salazar
Match_1_Innings_2_Over_1_Delivery_2,2,Match_1_Innings_2_Over_1,Summer Holt,Runs,5,,,5 runs this delivery,Match_1_Innings_2,Match_1,Sherri Salazar
Match_1_Innings_2_Over_1_Delivery_3,3,Match_1_Innings_2_Over_1,Summer Holt,Dismissal,,Bowler,,Summer Holt wicket taken,Match_1_Innings_2,Match_1,Sherri Salazar
Match_1_Innings_2_Over_1_Delivery_4,4,Match_1_Innings_2_Over_1,Timothy Lopez,Dismissal,,LBW,,Timothy Lopez wicket taken,Match_1_Innings_2,Match_1,Sherri Salazar
Match_1_Innings_2_Over_1_Delivery_5,5,Match_1_Innings_2_Over_1,Diana Meyer,Dismissal,,Stumped,Linda Donovan,Diana Meyer wicket taken,Match_1_Innings_2,Match_1,Sherri Salazar
Match_1_Innings_2_Over_1_Delivery_6,6,Match_1_Innings_2_Over_1,Cory Richard,Runs,2,,,2 runs this delivery,Match_1_Innings_2,Match_1,Sherri Salazar
Match_1_Innings_2_Over_2_Delivery_1,1,Match_1_Innings_2_Over_2,Cory Richard,Dot Ball,0,,,0 runs this delivery,Match_1_Innings_2,Match_1,Edwin Lynch
Match_1_Innings_2_Over_2_Delivery_2,2,Match_1_Innings_2_Over_2,Cory Richard,Runs,1,,,1 runs this delivery,Match_1_Innings_2,Match_1,Edwin Lynch
Match_1_Innings_2_Over_2_Delivery_3,3,Match_1_Innings_2_Over_2,Cory Richard,Dot Ball,0,,,0 runs this delivery,Match_1_Innings_2,Match_1,Edwin Lynch
Match_1_Innings_2_Over_2_Delivery_4,4,Match_1_Innings_2_Over_2,Cory Richard,Dot Ball,0,,,0 runs this delivery,Match_1_Innings_2,Match_1,Edwin Lynch
Match_1_Innings_2_Over_2_Delivery_5,5,Match_1_Innings_2_Over_2,Cory Richard,Runs,1,,,1 runs this delivery,Match_1_Innings_2,Match_1,Edwin Lynch
Match_1_Innings_2_Over_2_Delivery_6,6,Match_1_Innings_2_Over_2,Cory Richard,Dot Ball,0,,,0 runs this delivery,Match_1_Innings_2,Match_1,Edwin Lynch
Match_1_Innings_2_Over_3_Delivery_1,1,Match_1_Innings_2_Over_3,Cory Richard,Runs,2,,,2 runs this delivery,Match_1_Innings_2,Match_1,Joanne Espinoza
Match_1_Innings_2_Over_3_Delivery_2,2,Match_1_Innings_2_Over_3,Cory Richard,Dismissal,,LBW,,Cory Richard wicket taken,Match_1_Innings_2,Match_1,Joanne Espinoza
Match_1_Innings_2_Over_3_Delivery_3,3,Match_1_Innings_2_Over_3,Logan Nguyen,Runs,2,,,2 runs this delivery,Match_1_Innings_2,Match_1,Joanne Espinoza
Match_1_Innings_2_Over_3_Delivery_4,4,Match_1_Innings_2_Over_3,Logan Nguyen,Runs,1,,,1 runs this delivery,Match_1_Innings_2,Match_1,Joanne Espinoza
Match_1_Innings_2_Over_3_Delivery_5,5,Match_1_Innings_2_Over_3,Logan Nguyen,Runs,1,,,1 runs this delivery,Match_1_Innings_2,Match_1,Joanne Espinoza
Match_1_Innings_2_Over_3_Delivery_6,6,Match_1_Innings_2_Over_3,Logan Nguyen,Runs,1,,,1 runs this delivery,Match_1_Innings_2,Match_1,Joanne Espinoza
Match_1_Innings_2_Over_4_Delivery_1,1,Match_1_Innings_2_Over_4,Logan Nguyen,Dot Ball,0,,,0 runs this delivery,Match_1_Innings_2,Match_1,Charles Gregory
Match_1_Innings_2_Over_4_Delivery_2,2,Match_1_Innings_2_Over_4,Logan Nguyen,Runs,1,,,1 runs this delivery,Match_1_Innings_2,Match_1,Charles Gregory
Match_1_Innings_2_Over_4_Delivery_3,3,Match_1_Innings_2_Over_4,Logan Nguyen,Dot Ball,0,,,0 runs this delivery,Match_1_Innings_2,Match_1,Charles Gregory
Match_1_Innings_2_Over_4_Delivery_4,4,Match_1_Innings_2_Over_4,Logan Nguyen,Runs,1,,,1 runs this delivery,Match_1_Innings_2,Match_1,Charles Gregory
Match_1_Innings_2_Over_4_Delivery_5,5,Match_1_Innings_2_Over_4,Logan Nguyen,Runs,1,,,1 runs this delivery,Match_1_Innings_2,Match_1,Charles Gregory
Match_1_Innings_2_Over_4_Delivery_6,6,Match_1_Innings_2_Over_4,Logan Nguyen,Runs,1,,,1 runs this delivery,Match_1_Innings_2,Match_1,Charles Gregory
Match_1_Innings_2_Over_5_Delivery_1,1,Match_1_Innings_2_Over_5,Logan Nguyen,Dot Ball,0,,,0 runs this delivery,Match_1_Innings_2,Match_1,Sherri Salazar
Match_1_Innings_2_Over_5_Delivery_2,2,Match_1_Innings_2_Over_5,Logan Nguyen,Dot Ball,0,,,0 runs this delivery,Match_1_Innings_2,Match_1,Sherri Salazar
Match_1_Innings_2_Over_5_Delivery_3,3,Match_1_Innings_2_Over_5,Logan Nguyen,Runs,1,,,1 runs this delivery,Match_1_Innings_2,Match_1,Sherri Salazar
Match_1_Innings_2_Over_5_Delivery_4,4,Match_1_Innings_2_Over_5,Logan Nguyen,Runs,1,,,1 runs this delivery,Match_1_Innings_2,Match_1,Sherri Salazar
