Name,Degree,Module,Year,Degree Credit
CSE-967,MSc Computer Science,Scale Front-End Communities,1,MSc Computer Science_Year_1
CSE-676,MSc Computer Science,Utilize Holistic Action-Items,1,MSc Computer Science_Year_1
CSE-919,MSc Computer Science,Extend Granular Supply-Chains,1,MSc Computer Science_Year_1
CSE-152,MSc Computer Science,Extend 24/365 E-Services,1,MSc Computer Science_Year_1
CSE-464,MSc Computer Science,Whiteboard Killer E-Commerce,1,MSc Computer Science_Year_1
CSE-134,MSc Computer Science,Engineer One-To-One Portals,1,MSc Computer Science_Year_1
CSE-848,MSc Computer Science,Optimize Back-End Networks,1,MSc Computer Science_Year_1
CSE-373,MSc Computer Science,Facilitate Next-Generation Synergies,1,MSc Computer Science_Year_1
CSE-914,MSc Computer Science,Harness Compelling Info-Mediaries,1,MSc Computer Science_Year_1
CSE-701,MSc Computer Science,Morph Cross-Platform Deliverables,1,MSc Computer Science_Year_1
CSE-128,MSc Computer Science,Productize Revolutionary Supply-Chains,2,MSc Computer Science_Year_2
CSE-563,MSc Computer Science,Aggregate Efficient Eyeballs,2,MSc Computer Science_Year_2
CSE-118,MSc Computer Science,Maximize Turn-Key Applications,2,MSc Computer Science_Year_2
CSE-788,MSc Computer Science,Productize Ubiquitous Communities,2,MSc Computer Science_Year_2
CSE-466,MSc Computer Science,Deploy Integrated Supply-Chains,2,MSc Computer Science_Year_2
CSE-471,MSc Computer Science,Facilitate Global Solutions,2,MSc Computer Science_Year_2
CSE-979,MSc Computer Science,Innovate Real-Time Content,2,MSc Computer Science_Year_2
CSE-158,MSc Computer Science,Harness Best-Of-Breed Deliverables,2,MSc Computer Science_Year_2
CSE-896,MSc Computer Science,Strategize Proactive E-Services,2,MSc Computer Science_Year_2
CSE-626,MSc Computer Science,Synthesize Cross-Media Metrics,2,MSc Computer Science_Year_2
CSE-745,MSc Computer Science,Extend Integrated Architectures,3,MSc Computer Science_Year_3
CSE-715,MSc Computer Science,Whiteboard Killer Models,3,MSc Computer Science_Year_3
CSE-273,MSc Computer Science,Maximize Clicks-And-Mortar Web Services,3,MSc Computer Science_Year_3
CSE-925,MSc Computer Science,Revolutionize Holistic Relationships,3,MSc Computer Science_Year_3
CSE-650,MSc Computer Science,Strategize Integrated E-Tailers,3,MSc Computer Science_Year_3
CSE-342,MSc Computer Science,Optimize Open-Source Web Services,3,MSc Computer Science_Year_3
CSE-630,MSc Computer Science,Integrate Intuitive Systems,3,MSc Computer Science_Year_3
CSE-403,MSc Computer Science,Engage Ubiquitous Technologies,3,MSc Computer Science_Year_3
CSE-805,MSc Computer Science,Re-Intermediate Integrated Systems,3,MSc Computer Science_Year_3
CSE-806,MSc Computer Science,Repurpose 24/7 Communities,3,MSc Computer Science_Year_3
CSE-840,MSc Computer Science,Engage Real-Time Paradigms,4,MSc Computer Science_Year_4
CSE-207,MSc Computer Science,Brand Value-Added E-Markets,4,MSc Computer Science_Year_4
CSE-242,MSc Computer Science,Re-Contextualize Viral Technologies,4,MSc Computer Science_Year_4
CSE-382,MSc Computer Science,Whiteboard Front-End Roi,4,MSc Computer Science_Year_4
CSE-544,MSc Computer Science,Deliver Real-Time Architectures,4,MSc Computer Science_Year_4
CSE-801,MSc Computer Science,Productize Wireless Deliverables,4,MSc Computer Science_Year_4
CSE-546,MSc Computer Science,Productize Frictionless Methodologies,4,MSc Computer Science_Year_4
CSE-740,MSc Computer Science,Mesh Cutting-Edge Action-Items,4,MSc Computer Science_Year_4
CSE-825,MSc Computer Science,Syndicate Turn-Key Roi,4,MSc Computer Science_Year_4
CSE-321,MSc Computer Science,Morph Revolutionary Content,4,MSc Computer Science_Year_4
CSE-165,PhD Computer Science,Incubate Vertical Paradigms,1,PhD Computer Science_Year_1
CSE-261,PhD Computer Science,Engage Web-Enabled Deliverables,1,PhD Computer Science_Year_1
CSE-598,PhD Computer Science,Productize Frictionless Initiatives,1,PhD Computer Science_Year_1
CSE-190,PhD Computer Science,Evolve Integrated Architectures,1,PhD Computer Science_Year_1
CSE-959,PhD Computer Science,Streamline Integrated Supply-Chains,1,PhD Computer Science_Year_1
CSE-241,PhD Computer Science,Facilitate Plug-And-Play Info-Mediaries,1,PhD Computer Science_Year_1
CSE-970,PhD Computer Science,Optimize Transparent Web Services,1,PhD Computer Science_Year_1
CSE-529,PhD Computer Science,Maximize Interactive Roi,1,PhD Computer Science_Year_1
CSE-825,PhD Computer Science,Utilize Wireless Networks,1,PhD Computer Science_Year_1
CSE-422,PhD Computer Science,Monetize Front-End Eyeballs,1,PhD Computer Science_Year_1
CSE-625,PhD Computer Science,Maximize Visionary Experiences,2,PhD Computer Science_Year_2
CSE-157,PhD Computer Science,Implement 24/365 Functionalities,2,PhD Computer Science_Year_2
CSE-549,PhD Computer Science,Reinvent Real-Time Relationships,2,PhD Computer Science_Year_2
CSE-468,PhD Computer Science,Expedite Mission-Critical Markets,2,PhD Computer Science_Year_2
CSE-403,PhD Computer Science,Innovate Dynamic Initiatives,2,PhD Computer Science_Year_2
CSE-711,PhD Computer Science,Transform Interactive Deliverables,2,PhD Computer Science_Year_2
CSE-237,PhD Computer Science,Implement Integrated Supply-Chains,2,PhD Computer Science_Year_2
CSE-573,PhD Computer Science,Grow Intuitive Relationships,2,PhD Computer Science_Year_2
CSE-966,PhD Computer Science,Evolve Distributed Vortals,2,PhD Computer Science_Year_2
CSE-785,PhD Computer Science,E-Enable User-Centric Functionalities,2,PhD Computer Science_Year_2
CSE-588,PhD Computer Science,Disintermediate Rich Supply-Chains,3,PhD Computer Science_Year_3
CSE-720,PhD Computer Science,Re-Contextualize Extensible Channels,3,PhD Computer Science_Year_3
CSE-740,PhD Computer Science,Monetize Plug-And-Play Solutions,3,PhD Computer Science_Year_3
CSE-144,PhD Computer Science,Productize Front-End Bandwidth,3,PhD Computer Science_Year_3
CSE-872,PhD Computer Science,Orchestrate Viral Channels,3,PhD Computer Science_Year_3
CSE-500,PhD Computer Science,Optimize Customized Eyeballs,3,PhD Computer Science_Year_3
CSE-609,PhD Computer Science,Expedite Rich Architectures,3,PhD Computer Science_Year_3
CSE-405,PhD Computer Science,Leverage Wireless Markets,3,PhD Computer Science_Year_3
CSE-864,PhD Computer Science,Transform Value-Added Experiences,3,PhD Computer Science_Year_3
CSE-128,PhD Computer Science,Incubate Granular Applications,3,PhD Computer Science_Year_3
CSE-702,PhD Computer Science,Optimize Sticky Architectures,4,PhD Computer Science_Year_4
CSE-870,PhD Computer Science,Cultivate Dot-Com Partnerships,4,PhD Computer Science_Year_4
CSE-292,PhD Computer Science,Engineer Web-Enabled Convergence,4,PhD Computer Science_Year_4
CSE-126,PhD Computer Science,Exploit World-Class Applications,4,PhD Computer Science_Year_4
CSE-763,PhD Computer Science,Evolve Bricks-And-Clicks Schemas,4,PhD Computer Science_Year_4
CSE-565,PhD Computer Science,Optimize End-To-End Supply-Chains,4,PhD Computer Science_Year_4
CSE-616,PhD Computer Science,Aggregate Dynamic Roi,4,PhD Computer Science_Year_4
CSE-750,PhD Computer Science,Unleash Extensible Metrics,4,PhD Computer Science_Year_4
CSE-610,PhD Computer Science,Grow Value-Added E-Tailers,4,PhD Computer Science_Year_4
CSE-737,PhD Computer Science,Syndicate Integrated Platforms,4,PhD Computer Science_Year_4
MATH-294,BSc Mathematics,Synergize Ubiquitous Relationships,1,BSc Mathematics_Year_1
MATH-758,BSc Mathematics,Empower User-Centric Niches,1,BSc Mathematics_Year_1
MATH-428,BSc Mathematics,Empower Enterprise Convergence,1,BSc Mathematics_Year_1
MATH-862,BSc Mathematics,Benchmark Open-Source E-Services,1,BSc Mathematics_Year_1
MATH-594,BSc Mathematics,Unleash B2C Roi,1,BSc Mathematics_Year_1
MATH-157,BSc Mathematics,Mesh B2B E-Markets,1,BSc Mathematics_Year_1
MATH-243,BSc Mathematics,Leverage Killer Models,1,BSc Mathematics_Year_1
MATH-728,BSc Mathematics,Transform User-Centric Roi,1,BSc Mathematics_Year_1
MATH-880,BSc Mathematics,Productize Visionary Roi,1,BSc Mathematics_Year_1
MATH-970,BSc Mathematics,Evolve Turn-Key Supply-Chains,1,BSc Mathematics_Year_1
MATH-915,BSc Mathematics,Deploy Next-Generation Portals,2,BSc Mathematics_Year_2
MATH-624,BSc Mathematics,Envisioneer Customized Bandwidth,2,BSc Mathematics_Year_2
MATH-245,BSc Mathematics,Enhance Bleeding-Edge Web-Readiness,2,BSc Mathematics_Year_2
MATH-479,BSc Mathematics,Morph Wireless Platforms,2,BSc Mathematics_Year_2
MATH-551,BSc Mathematics,Evolve One-To-One Content,2,BSc Mathematics_Year_2
MATH-452,BSc Mathematics,E-Enable Interactive Vortals,2,BSc Mathematics_Year_2
MATH-816,BSc Mathematics,Benchmark Distributed Models,2,BSc Mathematics_Year_2
MATH-384,BSc Mathematics,Target Killer Metrics,2,BSc Mathematics_Year_2
MATH-787,BSc Mathematics,Unleash Ubiquitous Portals,2,BSc Mathematics_Year_2
MATH-677,BSc Mathematics,Iterate Mission-Critical E-Markets,2,BSc Mathematics_Year_2
MATH-212,BSc Mathematics,Matrix Revolutionary Networks,3,BSc Mathematics_Year_3
MATH-961,BSc Mathematics,Incentivize Innovative E-Commerce,3,BSc Mathematics_Year_3
MATH-581,BSc Mathematics,Innovate Proactive Mindshare,3,BSc Mathematics_Year_3
MATH-697,BSc Mathematics,Seize Bricks-And-Clicks Models,3,BSc Mathematics_Year_3
MATH-935,BSc Mathematics,Iterate Bricks-And-Clicks Web Services,3,BSc Mathematics_Year_3
MATH-247,BSc Mathematics,Brand Clicks-And-Mortar Action-Items,3,BSc Mathematics_Year_3
MATH-164,BSc Mathematics,Harness Cross-Platform Markets,3,BSc Mathematics_Year_3
MATH-386,BSc Mathematics,Reinvent Granular Markets,3,BSc Mathematics_Year_3
MATH-580,BSc Mathematics,Strategize Transparent Metrics,3,BSc Mathematics_Year_3
MATH-559,BSc Mathematics,Facilitate Viral Architectures,3,BSc Mathematics_Year_3
MATH-703,BSc Mathematics,Target World-Class Interfaces,4,BSc Mathematics_Year_4
MATH-211,BSc Mathematics,Transform Magnetic Systems,4,BSc Mathematics_Year_4
MATH-404,BSc Mathematics,Visualize Granular Web-Readiness,4,BSc Mathematics_Year_4
MATH-457,BSc Mathematics,Productize Revolutionary Applications,4,BSc Mathematics_Year_4
MATH-305,BSc Mathematics,Visualize Ubiquitous Partnerships,4,BSc Mathematics_Year_4
MATH-542,BSc Mathematics,Enhance Turn-Key Systems,4,BSc Mathematics_Year_4
MATH-493,BSc Mathematics,Transition End-To-End Relationships,4,BSc Mathematics_Year_4
MATH-819,BSc Mathematics,Expedite Synergistic Niches,4,BSc Mathematics_Year_4
MATH-180,BSc Mathematics,Aggregate Global E-Commerce,4,BSc Mathematics_Year_4
MATH-218,BSc Mathematics,Transition Bricks-And-Clicks Interfaces,4,BSc Mathematics_Year_4
MATH-237,MSc Mathematics,Evolve World-Class Paradigms,1,MSc Mathematics_Year_1
MATH-234,MSc Mathematics,Matrix Magnetic Convergence,1,MSc Mathematics_Year_1
MATH-889,MSc Mathematics,Facilitate Impactful Vortals,1,MSc Mathematics_Year_1
MATH-681,MSc Mathematics,Innovate Impactful Users,1,MSc Mathematics_Year_1
MATH-655,MSc Mathematics,Strategize Virtual Networks,1,MSc Mathematics_Year_1
MATH-832,MSc Mathematics,Productize Value-Added E-Tailers,1,MSc Mathematics_Year_1
MATH-717,MSc Mathematics,Engage Back-End Portals,1,MSc Mathematics_Year_1
MATH-827,MSc Mathematics,Orchestrate Efficient Platforms,1,MSc Mathematics_Year_1
MATH-645,MSc Mathematics,Disintermediate B2B Web Services,1,MSc Mathematics_Year_1
MATH-955,MSc Mathematics,Grow Customized Networks,1,MSc Mathematics_Year_1
MATH-852,MSc Mathematics,Integrate Vertical Methodologies,2,MSc Mathematics_Year_2
MATH-492,MSc Mathematics,Leverage Intuitive Info-Mediaries,2,MSc Mathematics_Year_2
MATH-317,MSc Mathematics,Incentivize Transparent Models,2,MSc Mathematics_Year_2
MATH-759,MSc Mathematics,Maximize Efficient Schemas,2,MSc Mathematics_Year_2
MATH-935,MSc Mathematics,Synthesize Dynamic Deliverables,2,MSc Mathematics_Year_2
MATH-345,MSc Mathematics,Aggregate Integrated Architectures,2,MSc Mathematics_Year_2
MATH-514,MSc Mathematics,Scale Visionary Functionalities,2,MSc Mathematics_Year_2
MATH-128,MSc Mathematics,Scale Clicks-And-Mortar Vortals,2,MSc Mathematics_Year_2
MATH-408,MSc Mathematics,Enhance 24/365 E-Markets,2,MSc Mathematics_Year_2
MATH-780,MSc Mathematics,Disintermediate Web-Enabled Users,2,MSc Mathematics_Year_2
MATH-267,MSc Mathematics,Facilitate Collaborative Architectures,3,MSc Mathematics_Year_3
MATH-252,MSc Mathematics,Leverage User-Centric Metrics,3,MSc Mathematics_Year_3
MATH-175,MSc Mathematics,Revolutionize Enterprise Markets,3,MSc Mathematics_Year_3
MATH-183,MSc Mathematics,Optimize Cross-Media Methodologies,3,MSc Mathematics_Year_3
MATH-689,MSc Mathematics,Redefine Back-End Users,3,MSc Mathematics_Year_3
MATH-601,MSc Mathematics,Incubate Frictionless Architectures,3,MSc Mathematics_Year_3
MATH-775,MSc Mathematics,Deploy Global Action-Items,3,MSc Mathematics_Year_3
MATH-647,MSc Mathematics,Deploy Dynamic Technologies,3,MSc Mathematics_Year_3
MATH-144,MSc Mathematics,Incubate Value-Added Functionalities,3,MSc Mathematics_Year_3
MATH-455,MSc Mathematics,Deploy 24/7 Vortals,3,MSc Mathematics_Year_3
MATH-307,MSc Mathematics,Repurpose Clicks-And-Mortar E-Tailers,4,MSc Mathematics_Year_4
MATH-951,MSc Mathematics,Integrate Cross-Platform Functionalities,4,MSc Mathematics_Year_4
MATH-365,MSc Mathematics,Grow World-Class Architectures,4,MSc Mathematics_Year_4
MATH-844,MSc Mathematics,Synergize Extensible Portals,4,MSc Mathematics_Year_4
MATH-390,MSc Mathematics,Harness Global Networks,4,MSc Mathematics_Year_4
MATH-703,MSc Mathematics,Envisioneer Dot-Com Relationships,4,MSc Mathematics_Year_4
MATH-636,MSc Mathematics,Harness Open-Source Functionalities,4,MSc Mathematics_Year_4
MATH-107,MSc Mathematics,Re-Intermediate End-To-End Deliverables,4,MSc Mathematics_Year_4
MATH-852,MSc Mathematics,Productize Dot-Com Partnerships,4,MSc Mathematics_Year_4
MATH-830,MSc Mathematics,Engineer Front-End Communities,4,MSc Mathematics_Year_4
MATH-855,PhD Mathematics,Syndicate Collaborative Networks,1,PhD Mathematics_Year_1
MATH-420,PhD Mathematics,Seize One-To-One E-Tailers,1,PhD Mathematics_Year_1
MATH-865,PhD Mathematics,Optimize Proactive Applications,1,PhD Mathematics_Year_1
MATH-665,PhD Mathematics,Incentivize E-Business Paradigms,1,PhD Mathematics_Year_1
MATH-456,PhD Mathematics,Seize World-Class Action-Items,1,PhD Mathematics_Year_1
MATH-253,PhD Mathematics,E-Enable Cutting-Edge Initiatives,1,PhD Mathematics_Year_1
MATH-840,PhD Mathematics,Redefine Bleeding-Edge Channels,1,PhD Mathematics_Year_1
MATH-106,PhD Mathematics,Whiteboard Compelling Infrastructures,1,PhD Mathematics_Year_1
MATH-428,PhD Mathematics,Synergize Bleeding-Edge Markets,1,PhD Mathematics_Year_1
MATH-594,PhD Mathematics,Embrace Turn-Key Content,1,PhD Mathematics_Year_1
MATH-326,PhD Mathematics,Deliver Cross-Platform Web Services,2,PhD Mathematics_Year_2
MATH-522,PhD Mathematics,Leverage Cross-Media Portals,2,PhD Mathematics_Year_2
MATH-962,PhD Mathematics,Unleash Rich Bandwidth,2,PhD Mathematics_Year_2
MATH-191,PhD Mathematics,Productize Bricks-And-Clicks Networks,2,PhD Mathematics_Year_2
MATH-998,PhD Mathematics,Embrace Leading-Edge Interfaces,2,PhD Mathematics_Year_2
MATH-300,PhD Mathematics,Re-Intermediate Value-Added Users,2,PhD Mathematics_Year_2
MATH-623,PhD Mathematics,Grow Cross-Media Channels,2,PhD Mathematics_Year_2
MATH-519,PhD Mathematics,Extend Real-Time Supply-Chains,2,PhD Mathematics_Year_2
MATH-967,PhD Mathematics,Drive Enterprise Channels,2,PhD Mathematics_Year_2
MATH-393,PhD Mathematics,Brand Best-Of-Breed Info-Mediaries,2,PhD Mathematics_Year_2
MATH-171,PhD Mathematics,Seize Sticky Convergence,3,PhD Mathematics_Year_3
MATH-157,PhD Mathematics,Reinvent Mission-Critical Deliverables,3,PhD Mathematics_Year_3
MATH-368,PhD Mathematics,Synergize Efficient Schemas,3,PhD Mathematics_Year_3
MATH-198,PhD Mathematics,Evolve Real-Time Roi,3,PhD Mathematics_Year_3
MATH-411,PhD Mathematics,Revolutionize Transparent Systems,3,PhD Mathematics_Year_3
MATH-100,PhD Mathematics,Morph Frictionless E-Tailers,3,PhD Mathematics_Year_3
MATH-874,PhD Mathematics,Drive B2B E-Business,3,PhD Mathematics_Year_3
MATH-379,PhD Mathematics,Transform Out-Of-The-Box Infrastructures,3,PhD Mathematics_Year_3
MATH-931,PhD Mathematics,Scale Cutting-Edge Roi,3,PhD Mathematics_Year_3
MATH-472,PhD Mathematics,Re-Contextualize Web-Enabled Deliverables,3,PhD Mathematics_Year_3
MATH-172,PhD Mathematics,Enable Cross-Platform Niches,4,PhD Mathematics_Year_4
MATH-125,PhD Mathematics,Monetize Dot-Com Info-Mediaries,4,PhD Mathematics_Year_4
MATH-638,PhD Mathematics,Aggregate Killer Partnerships,4,PhD Mathematics_Year_4
MATH-609,PhD Mathematics,Strategize Clicks-And-Mortar Infrastructures,4,PhD Mathematics_Year_4
MATH-886,PhD Mathematics,Grow Impactful Architectures,4,PhD Mathematics_Year_4
MATH-426,PhD Mathematics,Incentivize Viral Infrastructures,4,PhD Mathematics_Year_4
MATH-697,PhD Mathematics,Grow Cross-Media Action-Items,4,PhD Mathematics_Year_4
MATH-533,PhD Mathematics,Morph 24/365 Schemas,4,PhD Mathematics_Year_4
MATH-244,PhD Mathematics,Grow Efficient Mindshare,4,PhD Mathematics_Year_4
MATH-134,PhD Mathematics,Target Web-Enabled Convergence,4,PhD Mathematics_Year_4
PHY-884,BSc Physics,Grow Bricks-And-Clicks Interfaces,1,BSc Physics_Year_1
PHY-654,BSc Physics,Whiteboard Dot-Com Experiences,1,BSc Physics_Year_1
PHY-951,BSc Physics,Re-Contextualize Visionary Content,1,BSc Physics_Year_1
PHY-810,BSc Physics,Engage Seamless Partnerships,1,BSc Physics_Year_1
PHY-365,BSc Physics,Incentivize Virtual Communities,1,BSc Physics_Year_1
PHY-293,BSc Physics,Extend Enterprise Schemas,1,BSc Physics_Year_1
PHY-387,BSc Physics,Cultivate End-To-End Experiences,1,BSc Physics_Year_1
PHY-769,BSc Physics,Seize Cross-Media Mindshare,1,BSc Physics_Year_1
PHY-635,BSc Physics,Benchmark Cross-Media Deliverables,1,BSc Physics_Year_1
PHY-402,BSc Physics,Optimize Robust Networks,1,BSc Physics_Year_1
PHY-506,BSc Physics,Engage B2C Synergies,2,BSc Physics_Year_2
PHY-933,BSc Physics,Reinvent Global Systems,2,BSc Physics_Year_2
PHY-603,BSc Physics,Extend Intuitive Markets,2,BSc Physics_Year_2
PHY-993,BSc Physics,Redefine Strategic Technologies,2,BSc Physics_Year_2
PHY-326,BSc Physics,Re-Contextualize Scalable Bandwidth,2,BSc Physics_Year_2
PHY-167,BSc Physics,Synthesize Ubiquitous Channels,2,BSc Physics_Year_2
PHY-545,BSc Physics,Enable Cross-Media Portals,2,BSc Physics_Year_2
PHY-406,BSc Physics,Drive Revolutionary E-Tailers,2,BSc Physics_Year_2
PHY-138,BSc Physics,Extend Transparent Models,2,BSc Physics_Year_2
PHY-229,BSc Physics,Orchestrate Virtual E-Commerce,2,BSc Physics_Year_2
PHY-530,BSc Physics,Matrix Cross-Platform Functionalities,3,BSc Physics_Year_3
PHY-866,BSc Physics,Mesh Killer Networks,3,BSc Physics_Year_3
PHY-426,BSc Physics,Morph Turn-Key Relationships,3,BSc Physics_Year_3
PHY-948,BSc Physics,Incentivize Extensible Web-Readiness,3,BSc Physics_Year_3
PHY-752,BSc Physics,Transition Bleeding-Edge Paradigms,3,BSc Physics_Year_3
PHY-322,BSc Physics,Reinvent Real-Time Content,3,BSc Physics_Year_3
PHY-560,BSc Physics,Extend Revolutionary Infrastructures,3,BSc Physics_Year_3
PHY-573,BSc Physics,Exploit Leading-Edge Communities,3,BSc Physics_Year_3
PHY-973,BSc Physics,Harness Extensible Partnerships,3,BSc Physics_Year_3
PHY-272,BSc Physics,Visualize Cross-Platform Supply-Chains,3,BSc Physics_Year_3
PHY-968,BSc Physics,Revolutionize Bricks-And-Clicks Deliverables,4,BSc Physics_Year_4
PHY-971,BSc Physics,Enhance Magnetic Systems,4,BSc Physics_Year_4
PHY-999,BSc Physics,Transition Wireless Solutions,4,BSc Physics_Year_4
PHY-514,BSc Physics,Reinvent Seamless Infrastructures,4,BSc Physics_Year_4
PHY-627,BSc Physics,Redefine Virtual Systems,4,BSc Physics_Year_4
PHY-247,BSc Physics,Generate Integrated Applications,4,BSc Physics_Year_4
PHY-313,BSc Physics,Repurpose Real-Time Eyeballs,4,BSc Physics_Year_4
PHY-492,BSc Physics,Grow Efficient Info-Mediaries,4,BSc Physics_Year_4
PHY-470,BSc Physics,Empower Best-Of-Breed Systems,4,BSc Physics_Year_4
PHY-756,BSc Physics,Embrace Holistic Web-Readiness,4,BSc Physics_Year_4
PHY-857,MSc Physics,Syndicate Back-End Experiences,1,MSc Physics_Year_1
PHY-646,MSc Physics,Optimize Killer Eyeballs,1,MSc Physics_Year_1
PHY-544,MSc Physics,Synthesize Magnetic Channels,1,MSc Physics_Year_1
PHY-691,MSc Physics,Harness Integrated E-Commerce,1,MSc Physics_Year_1
PHY-264,MSc Physics,Maximize Next-Generation Users,1,MSc Physics_Year_1
PHY-606,MSc Physics,Orchestrate Cross-Platform Vortals,1,MSc Physics_Year_1
PHY-838,MSc Physics,Disintermediate Front-End Initiatives,1,MSc Physics_Year_1
PHY-725,MSc Physics,Redefine Cross-Media Deliverables,1,MSc Physics_Year_1
PHY-947,MSc Physics,Syndicate World-Class Channels,1,MSc Physics_Year_1
PHY-974,MSc Physics,Seize 24/7 Supply-Chains,1,MSc Physics_Year_1
PHY-105,MSc Physics,Deploy Efficient Networks,2,MSc Physics_Year_2
PHY-353,MSc Physics,Matrix Front-End E-Commerce,2,MSc Physics_Year_2
PHY-361,MSc Physics,Utilize Bleeding-Edge E-Commerce,2,MSc Physics_Year_2
PHY-382,MSc Physics,Generate Sticky Models,2,MSc Physics_Year_2
PHY-582,MSc Physics,Streamline One-To-One Technologies,2,MSc Physics_Year_2
PHY-871,MSc Physics,Envisioneer Cross-Platform Partnerships,2,MSc Physics_Year_2
PHY-772,MSc Physics,Deliver Bricks-And-Clicks Action-Items,2,MSc Physics_Year_2
PHY-357,MSc Physics,Iterate Enterprise Technologies,2,MSc Physics_Year_2
PHY-739,MSc Physics,Incentivize Open-Source Technologies,2,MSc Physics_Year_2
PHY-974,MSc Physics,Drive User-Centric Applications,2,MSc Physics_Year_2
PHY-203,MSc Physics,Architect Customized Architectures,3,MSc Physics_Year_3
PHY-151,MSc Physics,Transition Dot-Com Web Services,3,MSc Physics_Year_3
PHY-863,MSc Physics,Facilitate User-Centric E-Commerce,3,MSc Physics_Year_3
PHY-577,MSc Physics,Unleash Cross-Platform Bandwidth,3,MSc Physics_Year_3
PHY-626,MSc Physics,Productize Global Paradigms,3,MSc Physics_Year_3
PHY-806,MSc Physics,Facilitate Web-Enabled Applications,3,MSc Physics_Year_3
PHY-867,MSc Physics,Aggregate Visionary Paradigms,3,MSc Physics_Year_3
PHY-579,MSc Physics,Incentivize User-Centric Content,3,MSc Physics_Year_3
PHY-601,MSc Physics,Synergize Efficient Eyeballs,3,MSc Physics_Year_3
PHY-195,MSc Physics,Empower Dynamic Architectures,3,MSc Physics_Year_3
PHY-150,MSc Physics,Streamline Global Partnerships,4,MSc Physics_Year_4
