Name,Unit,Price Cycle,Price
nYJxW0OH4,290,Yearly,20609.32
9EiEx9Vw0,193,Monthly,2068.22
FqG4Fgkek,153,Yearly,29726.17
XFIjxaWJ3,242,Half-Yearly,11540.74
rFf95MYLd,79,Quarterly,6560.38
ye12DlopM,238,Yearly,29213.79
uhEscvK3G,116,Quarterly,5492.78
hrmWaan39,172,Half-Yearly,9765.84
ZURZ9SC6s,81,Yearly,23895.97
ohvB1wvhS,39,Yearly,24588.01
Omff5Nwc1,119,Yearly,20162.41
CXbGjlKtn,28,Yearly,24981.09
VIESFbFFu,76,Monthly,1648.76
S1Zk9TGTG,270,Quarterly,7317.07
TYMoG4gg1,137,Monthly,1920.59
pkAaEfvCL,266,Monthly,2369.61
CCstwkoCY,131,Quarterly,4639.79
00k8oytXc,235,Quarterly,7253.49
7JNoPhHN8,295,Quarterly,6697.8
kUosOk1aO,118,Yearly,20926.44
vNd3T8OJ5,218,Monthly,1942.31
MQf9SQF2L,189,Half-Yearly,10416.39
n6u4MNy40,148,Half-Yearly,14391.87
Nq9aJKhvg,46,Half-Yearly,11857.01
lOECd9LcR,165,Quarterly,4559.5
koOmDVztd,11,Quarterly,5035.91
1UOlJL7Io,159,Monthly,2208.38
YmIRIU0Xj,0,Yearly,26798.65
oti9WnPo3,43,Half-Yearly,11611.36
F3VN5LHZ5,19,Half-Yearly,11999.6
ZGnfqYgpV,291,Quarterly,6460.06
j0rpsCJKX,209,Half-Yearly,9811.22
L1VwumJy3,192,Quarterly,5115.86
XR32Higzo,73,Half-Yearly,14988.34
cX7itWBMf,142,Monthly,1651.4
1NcfWBjHQ,164,Quarterly,6952.56
KxT3JCVKQ,100,Half-Yearly,14020.92
AcMMKC9Os,258,Half-Yearly,11200.42
3zrY0rR8c,224,Yearly,28036.53
ml6p7M0Xc,296,Monthly,2032.24
izRb4RJQE,199,Quarterly,6489.15
JidzVT2qp,194,Quarterly,4672.35
u3zDGqx3O,169,Monthly,1850.18
2SF9BPv5k,72,Half-Yearly,11598.96
kDhdJpIGc,109,Yearly,20783.96
1c1FEpuDo,62,Quarterly,7407.03
yrflcdsjj,173,Quarterly,5022.22
ofAb4q6gg,111,Yearly,29687.93
UmyCSejpZ,17,Half-Yearly,12424.93
yJowx5ffM,38,Monthly,2010.9
sZslk5nMa,211,Half-Yearly,9936.5
jNd0omPDS,187,Yearly,18524.18
JgdyoJUmY,3,Quarterly,7003.72
FYPb4qeon,249,Monthly,1921.63
5NTqP3CJv,217,Half-Yearly,11776.94
bUMuOK33y,129,Yearly,26194.15
qbNkiIZm7,282,Yearly,21328.06
osyk9xXFZ,8,Monthly,2170.99
rkNXOgXlq,27,Quarterly,6212.73
QUe9zMps3,288,Monthly,2397.92
cIxa0FuWE,273,Yearly,22396.78
gX4Q7YcF8,162,Quarterly,4755.38
voDKHBJVy,101,Quarterly,7192.52
bBEy6Awgt,191,Half-Yearly,11097.54
9XED5gNB2,88,Monthly,1901.59
dT742430A,163,Yearly,26106.77
J9JXbXa4l,185,Monthly,1754.0
SJPT7OZj9,70,Half-Yearly,10630.45
PjM61I8Fz,276,Half-Yearly,10204.54
GVgk24ZE9,45,Monthly,2105.07
6ZHfFgKpV,286,Yearly,22413.09
NTUxlWRiu,297,Half-Yearly,10751.91
iyHhYcDij,212,Yearly,25090.4
A3dwKiMqZ,289,Yearly,23617.34
7GLW6JE6K,200,Half-Yearly,10607.08
igBF3igUo,18,Half-Yearly,11049.68
F1HAncXP9,285,Yearly,21418.11
ZC7XaZC3S,26,Quarterly,7212.88
fEv0u1EEm,44,Yearly,24882.17
XRwd1xmVp,232,Half-Yearly,14267.12
ELPwyXMhw,87,Monthly,2290.54
CBp9YA4z8,257,Quarterly,5795.87
g6dXKhQzl,269,Monthly,1797.24
RjRURJQDa,99,Yearly,23108.25
VjICpTVTZ,184,Yearly,26389.15
xrj6miISa,206,Quarterly,5405.44
LYbI7WEzu,125,Quarterly,7310.53
dqSqTgvli,298,Monthly,2427.5
ATQSJ0KIs,77,Quarterly,7361.41
eXsA49s1O,12,Quarterly,4936.87
JgBoXELdf,216,Monthly,2446.27
zBZjTVc0G,168,Monthly,2173.72
W68O6dnxe,123,Quarterly,5157.18
MGYhhQoAV,151,Yearly,27976.68
2YvrV1MTX,287,Half-Yearly,14500.47
pfWuvPuCz,71,Monthly,2347.81
HENsGU8QP,130,Yearly,20873.55
YgMwKuwdb,158,Quarterly,6539.23
5ZfRh0Ufc,132,Quarterly,5999.23
5khdktXP7,75,Quarterly,6526.36
s0Sw4vDDT,84,Yearly,19793.88
LFbBqNQsL,205,Monthly,1760.81
CjMmhsujW,48,Monthly,2224.98
wPXfhWia4,110,Yearly,23929.84
qKIxBJ7HN,215,Half-Yearly,14754.22
smkwsZ7G2,86,Half-Yearly,13696.65
0xiG9WUhP,95,Quarterly,6165.65
HMkquxeFx,181,Yearly,22974.61
zMkxbssHU,210,Half-Yearly,12822.5
q5O9vJJ9c,222,Yearly,24299.24
sxiswGjc6,144,Monthly,2350.11
46ZSRX3Ob,207,Quarterly,6769.46
PwSpqlDUZ,245,Yearly,28536.66
aPDhHKzKw,58,Quarterly,5786.69
M6hzak07S,66,Half-Yearly,10252.52
bOWQvY1ro,167,Yearly,26955.7
293zbCDOj,160,Quarterly,5167.65
4pHBcJRDQ,68,Yearly,25017.49
v5svAdfOf,195,Quarterly,5484.97
1RSikEBKu,13,Yearly,29765.66
6pA3l33AU,114,Yearly,29978.79
U9tOUWIT7,5,Monthly,1682.12
Ef4XY9IcZ,267,Yearly,19540.97
2bNBJ1d2f,128,Monthly,2360.41
ODMOtBGv7,115,Monthly,1676.97
j7IA26lmU,105,Monthly,2005.29
9TbLsP2yx,61,Monthly,1898.8
yx3Z0SGrO,138,Half-Yearly,10073.33
Ge2rj8R9h,264,Quarterly,5244.16
N3VW2KOcP,49,Monthly,1992.22
feDt7Swhf,225,Half-Yearly,10931.04
2p5lDBkH2,145,Quarterly,7070.14
YYVXg8rY2,152,Quarterly,6478.43
J5By7MuzB,10,Monthly,2406.8
ntq6i9cY2,136,Half-Yearly,9575.51
iluM05GDn,161,Yearly,21375.13
c3x9Q0X2u,23,Monthly,2064.98
21iWNKtQj,263,Yearly,28452.12
PGGC8WfYJ,179,Yearly,18296.93
OHoG5PfQN,92,Half-Yearly,14192.24
X6DffhWrh,265,Yearly,19234.09
Zo8wlFPik,42,Half-Yearly,10164.13
NejHp5WqX,230,Monthly,2265.52
gsEmDsFPJ,150,Half-Yearly,11025.89
TiPgIkyBU,197,Yearly,22620.29
ozEv11Xem,31,Half-Yearly,12713.33
Xh6nUw6zn,292,Quarterly,5144.33
UT6tTZeVW,241,Monthly,2251.41
HX08bNgrU,171,Monthly,1687.8
LrUhY9z1y,57,Half-Yearly,9900.08
irBHFyU8Z,60,Yearly,23620.17
bRG2cUceI,30,Half-Yearly,12180.17
BZuDKdldq,40,Half-Yearly,11481.46
lYS91GOYm,183,Monthly,1509.07
lHwMPCviw,56,Half-Yearly,9337.93
JTxmZU7DG,177,Yearly,29418.35
ykwzVukJb,155,Monthly,2305.49
klqhO76Lk,94,Half-Yearly,10124.85
0kHTfolIV,25,Half-Yearly,14671.93
uEyQfPZ7X,176,Half-Yearly,13795.75
4g6bhD0I3,204,Monthly,1543.06
TtgQTaikG,65,Quarterly,6294.93
i2NYfQbNr,107,Quarterly,5444.13
sbLk2Cvdt,156,Yearly,26835.84
TKWT6xdpV,271,Half-Yearly,10395.94
KHIuad9XF,69,Yearly,29802.58
vvEqkVDif,59,Quarterly,6178.57
gyggeuaW7,244,Quarterly,5281.94
B7ZMR27bV,275,Monthly,1733.96
2XQX0vp26,233,Monthly,1918.51
wqQjVrIYT,97,Quarterly,5820.31
CWTH3AedR,149,Yearly,21104.61
dcKJaqcU4,278,Monthly,1804.08
2MRXNKkdy,190,Monthly,1828.99
SJtvvxIgL,121,Quarterly,7365.96
Og1eqYTbL,64,Yearly,22036.59
16u96LPjO,256,Half-Yearly,10587.34
Fp1twAdeg,78,Monthly,1828.37
9wGDRWGVS,254,Half-Yearly,14228.36
bZ1AOpA3M,9,Quarterly,5967.82
E8uOkY6aG,89,Quarterly,7152.41
fpYTCzB2T,112,Yearly,22278.3
wZXiu1PGZ,223,Monthly,1752.93
ERQjAFSBQ,85,Half-Yearly,12671.81
MBFyURgvq,20,Yearly,27874.33
L6hAodPxv,272,Quarterly,6225.7
iqyhPkHkb,7,Half-Yearly,10765.36
3d5nrAQYf,243,Yearly,23217.56
oO5QIQNbo,104,Monthly,1884.71
ca8AMrXxn,143,Quarterly,5145.75
Lz4Wiaeo7,229,Monthly,1716.92
NGY6uTCrW,219,Monthly,1725.02
2SRGABVSm,91,Monthly,1650.68
SGlY2MM7d,82,Quarterly,6415.63
Pkxw9vPw3,54,Yearly,19446.31
qdLLijHaT,154,Yearly,26286.15
5jmV9uT3v,96,Quarterly,5745.0
efuLbJlZX,63,Quarterly,4551.64
n83hlnYM5,251,Quarterly,7357.97
pmZ3zFy4n,102,Quarterly,7104.9
cE8EiqJ7W,221,Monthly,1508.37
UtY2pE8p4,203,Quarterly,6255.79
mIVEdK2Ch,178,Quarterly,5380.69
L6HzseXGi,293,Quarterly,7061.32
EXROMkCfI,174,Quarterly,6752.55
9nJB3Na5C,1,Monthly,1624.23
iMXWYWm5Z,67,Half-Yearly,11713.25
M9fnCnwHa,277,Half-Yearly,9974.98
UFnDXHvzp,259,Yearly,26596.19
CxtTO25zp,234,Half-Yearly,11579.15
u25xkSUjL,253,Half-Yearly,13784.61
wtbI9waYV,33,Half-Yearly,11136.35
gVXPMyZTt,24,Quarterly,5165.95
8bRduFCDR,252,Monthly,1943.5
cftZCNeLr,237,Monthly,2356.37
mHGbIsiHe,117,Quarterly,5240.8
PjrZDWWAo,214,Quarterly,7426.19
A6zaJOutL,103,Quarterly,4801.02
oKZOS8Yjt,186,Monthly,2137.88
D9zyi9Map,90,Yearly,25295.74
sPBpCiOQW,247,Half-Yearly,12068.53
x3EUYGKLc,196,Yearly,25665.72
78olxHgmp,239,Monthly,2002.82
VXB9fn25G,182,Yearly,29376.96
M92d9CIhF,268,Monthly,1603.83
LkmRM1z1A,133,Quarterly,5825.52
15qkf0mzh,74,Half-Yearly,12356.34
gpP0fSRxR,6,Quarterly,5844.63
xQFgh2TnA,213,Quarterly,4869.91
zU287tQxX,180,Quarterly,7437.22
DlfSsUmqu,260,Half-Yearly,11598.52
uVoQZjpr5,126,Monthly,2297.38
WyOK9dtnK,236,Yearly,26909.8
3ircMYaRi,35,Quarterly,5668.33
DiSkswAVG,279,Quarterly,5268.55
X8ym9PobR,16,Half-Yearly,9090.04
DmHVzpvHb,280,Quarterly,6936.93
ge2Lh0GAk,228,Quarterly,6657.0
dH1pi1jWD,93,Yearly,24562.25
n8DGMUQ5p,274,Half-Yearly,14134.79
KBPLCJ1Qo,134,Yearly,29550.6
ut7NUhZ7O,261,Half-Yearly,11005.25
9foV7alpI,226,Half-Yearly,12528.9
PPoPBuiCL,250,Quarterly,7070.37
HulXXbN74,4,Monthly,2496.24
Q8Q9BDVnd,140,Quarterly,6958.18
kB0S4KD78,52,Monthly,2335.57
ZxuaqEgJO,21,Monthly,1845.95
UL5onhNFA,15,Half-Yearly,11674.68
8eSs2gSkl,2,Half-Yearly,9648.01
i6XoJeCTS,202,Yearly,23864.21
3Ljvyavjo,29,Yearly,27418.37
pKKtJ8PIZ,147,Quarterly,7476.86
bAnE2rcAa,120,Half-Yearly,13245.47
D8mOXZI0C,146,Half-Yearly,11002.35
mVwxkI9Qz,36,Monthly,2136.01
pVwpduU4H,220,Yearly,22218.25
Hahx7aZRy,157,Monthly,2342.19
cvLi8fAMe,124,Half-Yearly,12517.46
G3yuX7tkl,98,Half-Yearly,13823.5
JtL5NrgiN,240,Half-Yearly,14120.66
eZP54FEsF,255,Monthly,1857.0
UocUXf207,141,Yearly,23514.03
vttHHOwCB,188,Quarterly,7205.84
pnUtIw8WU,37,Monthly,2181.23
1PiPq7qId,198,Quarterly,5554.16
CriSr5Kkr,32,Yearly,18084.16
wgP0z6U2R,55,Monthly,1735.98
aojInejB2,113,Half-Yearly,10381.44
J2Sc828a1,34,Quarterly,7281.43
7fJ36yFE5,300,Quarterly,6846.27
IGfPOoStS,83,Half-Yearly,10475.47
uQ8UcrpLZ,294,Half-Yearly,13710.39
aCusdXJND,80,Yearly,21948.67
onkfQsYEM,22,Monthly,1852.9
C8kJcO964,208,Half-Yearly,13451.49
Yfrliqofw,127,Half-Yearly,12966.4
OyrHcDvnR,135,Quarterly,5122.78
1Fd2iD97S,281,Yearly,26454.1
JYV6SRXn1,14,Monthly,1869.82
RX7lB8I8j,53,Half-Yearly,11323.7
9NrU6KtFS,41,Quarterly,4833.22
3CZ37LwX0,283,Monthly,1584.18
VABgWr4TD,166,Yearly,24155.23
2jl3ffwbf,106,Monthly,1985.6
IqUmjIvCQ,246,Quarterly,5031.15
TwIBRdMOp,51,Half-Yearly,10317.02
KmyYaj28s,108,Monthly,1526.32
vUSyMXOP5,262,Monthly,1670.81
bbqAC8KTP,50,Quarterly,7106.01
mGxbw8XKI,284,Half-Yearly,9465.54
owN7RfLhh,47,Quarterly,6985.86
epIBSO6Bb,201,Monthly,2028.45
zI8FIawsz,175,Monthly,1852.52
iLoFEdO8s,227,Half-Yearly,14827.05
6mFJIJYNu,170,Quarterly,5599.07
I79Fc5782,248,Half-Yearly,9797.97
qJOqzAPKf,139,Monthly,1985.21
J4TRXWoCh,299,Monthly,2427.77
x8Uq2z2Zd,231,Yearly,22149.56
eESCkegTI,290,Half-Yearly,12724.13
B3VrAed16,193,Half-Yearly,11783.92
3Zg8lU4WW,153,Half-Yearly,12519.2
MM2z04PNY,242,Monthly,1859.66
R2EIlf8B4,79,Yearly,18324.51
2fx7QdtWk,238,Yearly,23093.7
9ZD2EMNCy,116,Quarterly,6160.25
wLs6ceAk2,172,Half-Yearly,12000.99
vkw6LsJkU,81,Monthly,2138.43
BewFPtSXn,39,Yearly,24402.6
CZMPaE0YM,119,Yearly,24780.61
TicLAXDJH,28,Half-Yearly,12841.46
8LeQLLVeP,76,Half-Yearly,14754.58
0nE9gpZjf,270,Half-Yearly,9672.35
ll6voFv5F,137,Yearly,24079.25
jBfbzHSoc,266,Yearly,29792.61
9qCAq1gk6,131,Half-Yearly,10132.67
TmR0Qzgvw,235,Yearly,20049.8
ZcLlAeJoa,295,Half-Yearly,13042.91
Ft7zjEXMx,118,Half-Yearly,9395.62
iJwh6wV4O,218,Yearly,25266.57
vP0ubuLGE,189,Monthly,1637.83
oqz2D9drp,148,Yearly,18958.43
bHpWfJLPT,46,Yearly,24445.05
qPePbLjGV,165,Yearly,26814.34
MpLPPj1mY,11,Monthly,1822.43
nVcg4DCQu,159,Quarterly,7396.32
xPEdEGsGX,0,Monthly,2085.38
4LMBNUNkF,43,Quarterly,7466.17
oKLxlsEAI,19,Yearly,28493.52
HPZBoFXwD,291,Monthly,1681.48
0OekE38Ve,209,Yearly,29314.92
eOqvfjkOu,192,Yearly,27967.95
D3LpuFkgK,73,Quarterly,6134.46
ERqXxzFti,142,Quarterly,7364.89
1cW2cUk1I,164,Half-Yearly,12412.45
YkeJhTWeo,100,Yearly,28563.12
5kTr5HkPM,258,Monthly,1971.7
03vzM560O,224,Quarterly,6394.31
vBdn9rECQ,296,Monthly,1719.47
XDezACPOU,199,Monthly,2071.1
oiFh3fNeG,194,Monthly,2373.85
nkZBJ1tT2,169,Half-Yearly,11861.06
NiZoPCWud,72,Half-Yearly,11678.58
y623UnHjS,109,Half-Yearly,9972.92
z6YBm67jg,62,Yearly,19752.86
0R1QGUDgB,173,Quarterly,6948.26
Y2NBdOrG5,111,Quarterly,5538.18
9OIlcKNiB,17,Quarterly,6261.85
kA6tBZrnF,38,Quarterly,6736.88
U3JM27p1V,211,Half-Yearly,14721.67
vL4fU295u,187,Yearly,23477.25
g4M3qi4zI,3,Quarterly,6231.87
6hviBdbcw,249,Quarterly,4522.65
GM14AfKR0,217,Yearly,23798.11
rwd2xqOO1,129,Quarterly,6701.33
Ja5a57syE,282,Yearly,21457.07
pApdUMbIj,8,Yearly,18257.85
kVRUEYQAy,27,Monthly,1976.97
NZuqFS5ZC,288,Quarterly,5421.02
DNDzNIyNr,273,Half-Yearly,10264.12
SePueknUL,162,Quarterly,7054.4
bynr83jGQ,101,Half-Yearly,13472.47
6l9QxU3JH,191,Yearly,26915.1
aVu2Phhbf,88,Monthly,1531.94
nsTbQPN9S,163,Half-Yearly,13190.02
17ObAU07G,185,Monthly,1813.32
3AG0R6xuV,70,Half-Yearly,9032.66
zg9nvb9cn,276,Monthly,2008.88
Oo69cvnyu,45,Half-Yearly,10808.72
kSWpN83y8,286,Half-Yearly,9514.9
q2QVzxCDr,297,Monthly,2111.04
ecGA5JPzB,212,Quarterly,5457.77
ZhmPw739j,289,Half-Yearly,11978.87
S7xjMdQqb,200,Yearly,20677.05
fGUbTvxb1,18,Quarterly,7222.19
WYwQ3w4ly,285,Yearly,23141.46
gXmx8Z6S3,26,Monthly,1980.65
sLMOL3Iwl,44,Half-Yearly,10676.19
I30ZQV5o2,232,Quarterly,6789.57
AWNSiZs2E,87,Yearly,28892.84
qz0BSWSCp,257,Monthly,1888.02
SIHbMKzJx,269,Yearly,24676.92
pMccggBsC,99,Quarterly,6711.97
mgM5qxxEt,184,Half-Yearly,12937.15
kNqhGbCx5,206,Monthly,1812.26
9iyYoBzNK,125,Quarterly,5972.11
ZQKQsFw1L,298,Monthly,1628.54
aKlcyRIJa,77,Monthly,2323.07
OSA4FkKcA,12,Monthly,1606.61
EiKdhphFx,216,Half-Yearly,10318.89
iUKnoWZdJ,168,Quarterly,5379.61
lDt2Zuzwz,123,Quarterly,5386.81
nsQwwB5sv,151,Quarterly,6927.07
kiUPL76Wp,287,Half-Yearly,10071.68
xA0MJgo6s,71,Half-Yearly,13772.28
ttSxlk2Hj,130,Monthly,2325.54
jDw7xc8YK,158,Yearly,21509.85
2RDkYGTbs,132,Monthly,2146.42
h10wvzMh7,75,Half-Yearly,13710.54
IqfG4xuzW,84,Yearly,20362.09
S5e51HXnb,205,Yearly,22085.6
MnAhaT9x0,48,Yearly,23567.14
SyCw9UAgj,110,Yearly,29843.5
mIEpZZkKc,215,Yearly,20054.08
Ox69Jnnj1,86,Quarterly,5100.51
PdONqZRs5,95,Yearly,29568.29
9VSveafj1,181,Monthly,1560.83
wz4IO3GrE,210,Quarterly,5621.04
pIzspUCja,222,Quarterly,6549.9
vpg4LGGGK,144,Yearly,20057.19
UaYmzferg,207,Monthly,1653.92
NIzn5MSia,245,Monthly,2125.35
k6lhEeeBI,58,Yearly,19287.07
MOlYv6tGr,66,Monthly,2247.42
9HyaiE1ju,167,Quarterly,4683.46
XH5QO5uHf,160,Quarterly,5423.21
QWnhapSED,68,Monthly,2074.77
vLcWRqNmf,195,Monthly,1740.79
Gz7pPsvpG,13,Quarterly,7432.05
QpST8DbMe,114,Quarterly,5321.53
eZ0aJeVCA,5,Yearly,25740.26
MxaRQtYJY,267,Half-Yearly,11684.91
9kgmh1Eeo,128,Monthly,2460.08
FRZVcUeJS,115,Yearly,28996.39
s8y0gZelD,105,Half-Yearly,9585.52
NMT4wNPE8,61,Half-Yearly,9881.63
ILww6W2lf,138,Monthly,1941.94
AcpeN1eEr,264,Half-Yearly,13593.2
lr6U6oNSD,49,Half-Yearly,12702.61
2BSn9XWqe,225,Half-Yearly,14939.28
0vxMEfuEP,145,Half-Yearly,9256.05
9spHgUKlv,152,Monthly,2417.75
KtDyKGDWH,10,Yearly,21363.68
NiFumJ2ZA,136,Yearly,24241.01
ZJNLBaqH8,161,Yearly,18453.51
acZ5JqnsH,23,Monthly,1730.12
AIx4IpuF1,263,Quarterly,7444.32
uB9AKxcXU,179,Monthly,1856.46
mgNU3yVms,92,Half-Yearly,12049.08
7u1AEzbia,265,Monthly,2358.24
icb0PQizY,42,Quarterly,5092.14
VF2r7XTff,230,Monthly,2159.1
WEqMnt757,150,Half-Yearly,11124.88
VMLNwAoeF,197,Quarterly,7246.21
5c9YXG4qw,31,Monthly,1585.43
2b1MFMj50,292,Half-Yearly,12103.86
tun7g57qb,241,Yearly,19675.73
fWeo4jcPU,171,Quarterly,6338.76
aXdFwGCvK,57,Quarterly,4844.0
sXvBUONMV,60,Half-Yearly,11103.2
kozBp4ImE,30,Monthly,1920.81
jpftAoR9p,40,Quarterly,6681.09
0LE3IrykV,183,Monthly,1704.53
JBsxgGZ3R,56,Monthly,2251.98
utcCY2le1,177,Half-Yearly,12173.43
Z8MeLJM7C,155,Half-Yearly,12752.19
StcZe2ajJ,94,Yearly,22064.12
cTlFgyHnY,25,Monthly,2042.28
CKMgmrMgQ,176,Monthly,1760.63
1ddvKnTDI,204,Yearly,29872.13
TYRFXKkU5,65,Quarterly,6534.38
6uwXNU88H,107,Half-Yearly,10695.78
lDQy8thzr,156,Monthly,2198.88
HshH6OrSw,271,Half-Yearly,10833.77
czz2qDIHM,69,Half-Yearly,9197.85
jwpn582q0,59,Quarterly,4788.86
j3XvaO8SD,244,Monthly,1613.96
kQbiyfGLB,275,Monthly,2222.96
4UAgPhEdB,233,Yearly,23002.28
Kgud64lUw,97,Monthly,2406.67
xV9Hz9jHU,149,Yearly,23428.95
6zr65Db69,278,Yearly,27025.5
QCMze2qKr,190,Half-Yearly,13115.74
TC76PSJ7o,121,Quarterly,5939.67
ieREmIJ78,64,Monthly,1686.1
nDd6HZuU0,256,Quarterly,4987.48
CryNUdZVf,78,Yearly,26378.56
yW9lM9lzW,254,Yearly,20529.68
AExeq5KvQ,9,Half-Yearly,10083.97
YiL28N9XB,89,Quarterly,6880.8
e4QH0SMhI,112,Yearly,28177.96
i2ibFv2TZ,223,Yearly,23488.58
D8E0hg3U1,85,Yearly,29332.75
d4ddbnYwc,20,Half-Yearly,10751.72
dllVSBH8h,272,Monthly,2216.69
XEXRxEXw3,7,Half-Yearly,11830.53
qElBJ81kU,243,Quarterly,6905.39
qwql3mbvl,104,Half-Yearly,14983.25
NWtebgaN4,143,Yearly,29128.12
sj7j4MUoP,229,Half-Yearly,9786.73
a3Ig7Q0QG,219,Quarterly,5413.32
okhhrzuVT,91,Yearly,19536.71
0Hsps1b01,82,Monthly,1697.08
lEy3o3QwM,54,Quarterly,5479.09
kCQuu3Ugr,154,Monthly,2017.72
TMUiywY35,96,Yearly,19082.11
3P8VBafnl,63,Yearly,28205.42
HHi6jClZL,251,Quarterly,6790.79
6X1eB2G21,102,Monthly,1751.92
uRXpSMagF,221,Quarterly,6045.92
da3TWVrwI,203,Quarterly,4789.41
d3hStovvf,178,Half-Yearly,13396.61
dWTXD7oCO,293,Half-Yearly,11245.74
DOjbNP9ei,174,Quarterly,6627.61
wApAMXdXm,1,Quarterly,7046.01
ywEVstayp,67,Monthly,1978.45
9d7KzuIjg,277,Half-Yearly,9355.41
tcm1Oqz9l,259,Quarterly,6553.05
kdF9YFPwx,234,Yearly,22399.72
JvsXCR6Jx,253,Quarterly,6727.29
gGghkaEPx,33,Monthly,1660.34
mOPj0XJfW,24,Half-Yearly,10716.45
uLSM9tk2o,252,Half-Yearly,13446.78
0Csh0Z4dK,237,Yearly,29832.67
s0123zQtK,117,Quarterly,6990.96
1nXvwWTsx,214,Quarterly,7255.76
2iVFvlmss,103,Half-Yearly,10752.24
eXd2sGZeJ,186,Quarterly,6373.75
3N7uTOjjZ,90,Half-Yearly,14193.75
jg2PO8v5s,247,Yearly,28002.53
TlaaqVhdD,196,Monthly,2387.31
qdzEmVBMC,239,Monthly,1735.67
kqVnXTVuj,182,Half-Yearly,11967.25
z4z42mXI0,268,Half-Yearly,12286.34
M4kSGeaKn,133,Yearly,25299.15
swnqFthzX,74,Half-Yearly,14381.57
ZJ1b1mi77,6,Quarterly,5873.68
6CKRVesNx,213,Yearly,28757.61
cHlpV7ddw,180,Quarterly,6587.75
4ll8mmuZC,260,Yearly,20810.33
dyOqMuTMx,126,Half-Yearly,12746.54
qGuixSy4W,236,Yearly,27766.12
8sdUVIOWB,35,Monthly,1527.41
21wjFuZPS,279,Quarterly,7067.25
TnGFmK2mF,16,Yearly,24819.36
Ocq6cCwMQ,280,Yearly,25955.04
akfrDjnTS,228,Half-Yearly,11158.04
pFimi3e2n,93,Yearly,24699.91
nTiUL84cx,274,Monthly,2443.59
Xe1Y6x3tb,134,Half-Yearly,11867.66
ksVWGLzsV,261,Yearly,18031.07
ux1RAWlj6,226,Half-Yearly,12258.73
i8T8Xo6Kr,250,Quarterly,6852.94
i4U3u9dFW,4,Monthly,2023.53
0IG5L3Tl4,140,Yearly,25845.0
lEZllmT0Y,52,Quarterly,5100.6
zWmAdclsW,21,Half-Yearly,9982.17
E9vqpgnAC,15,Half-Yearly,9216.67
zQ1p8iVqu,2,Quarterly,5801.47
PCNeEiLMc,202,Half-Yearly,9970.06
v1CxLDG5f,29,Monthly,2323.82
RS14TzsPe,147,Monthly,2366.58
58u0Apn80,120,Half-Yearly,10677.61
